batch,idx,sample_path,ja_value,ns,occurrences,proposed_ko
10,1,ruleEnginePage.marketing.pageTitle,マーケティング＆広告成果,ruleEnginePage,1,
10,2,ruleEnginePage.marketing.bgPnlMarginSummary,マージン&ROAS,ruleEnginePage,1,
10,3,ruleEnginePage.operations.colMargin,マージン(%),ruleEnginePage,1,
10,4,ruleEnginePage.operations.colMarginAmt,マージン(円),ruleEnginePage,1,
10,5,ruleEnginePage.marketing.tag_makeup,メイクアップ,ruleEnginePage,1,
10,6,ruleEnginePage.marketing.csTypeMessage,メッセージ広告,ruleEnginePage,1,
10,7,ruleEnginePage.gNav.menuRule,メニューアクセス,ruleEnginePage,1,
10,8,ruleEnginePage.gNav.menuAccessManager,メニューアクセス管理,ruleEnginePage,1,
10,9,ruleEnginePage.enhMemoTitle,メモ,ruleEnginePage,1,
10,10,ruleEnginePage.enhMemoSave,メモ保存,ruleEnginePage,1,
10,11,ruleEnginePage.marketing.tag_mens,メンズ,ruleEnginePage,1,
10,12,ruleEnginePage.gNav.memberTools,メンバーツール,ruleEnginePage,1,
10,13,ruleEnginePage.dash.moduleShortcuts,モジュールショートカット,ruleEnginePage,1,
10,14,ruleEnginePage.marketing.tag_app,モバイルアプリ,ruleEnginePage,1,
10,15,ruleEnginePage.marketing.strictDateDesc,リアルタイムデータを即座に取得,ruleEnginePage,1,
10,16,ruleEnginePage.marketing.budgetTrackSub,リアルタイム予算管理,ruleEnginePage,1,
10,17,ruleEnginePage.liveFeedTitle,リアルタイム注文フィード,ruleEnginePage,1,
10,18,ruleEnginePage.dash.liveActivity,リアルタイム活動,ruleEnginePage,1,
10,19,ruleEnginePage.supplyChain.tabRisk,リスク検知,ruleEnginePage,1,
10,20,ruleEnginePage.marketing.catRetargeting,リターゲティング,ruleEnginePage,1,
10,21,ruleEnginePage.supplyChain.tabLeadTime,リードタイム分析,ruleEnginePage,1,
10,22,ruleEnginePage.super.routingNoRules,ルーティングルールがありません。ルールを追加してください。,ruleEnginePage,1,
10,23,ruleEnginePage.routingNoRules,ルールがありません。,ruleEnginePage,1,
10,24,ruleEnginePage.marketing.tag_leisure,レジャー,ruleEnginePage,1,
