batch,idx,sample_path,ja_value,ns,occurrences,proposed_ko
07,1,pages.marketingIntel.pricingDetail.pro_s7,SmartConnectハブ（新）,pages,1,
07,2,pages.marketingIntel.pricingDetail.pro_l5,SmartConnectパートナーAPI双方向 — Enterprise,pages,1,
07,3,pages.marketingIntel.pricingDetail.ent_s5,SmartConnectパートナーAPI（新）,pages,1,
07,4,pages.marketingIntel.marketingIntel.pricing.faq5a,Toss Paymentsによるクレジットカード決済に対応。Enterpriseは銀行振込も可能です。,pages,1,
07,5,pages.marketingIntel.pricingDetail.pro_s6i3,UGC（Instagram・YouTube）パフォーマンス分析,pages,1,
07,6,pages.marketingIntel.pricingDetail.pro_s3i2,WhatsAppブロードキャスト・自動化,pages,1,
07,7,pages.marketingIntel.pricingDetail.ent_s6i3,WhatsApp高度設定（チャネルAPI）,pages,1,
07,8,pages.marketingIntel.dashGuide.feat5Desc,XSS、CSRF等のセキュリティ脅威をリアルタイムで検知・ブロックします。,pages,1,
07,9,pages.marketingIntel.attrData.anomalyBodyText,Zスコアベース監視。|z|>2.0時自動アラート、7日移動平均トレンド分析。,pages,1,
07,10,pages.marketingIntel.attrData.guideAnomalyDesc,Zスコアリアルタイム検知、急変時自動アラート。,pages,1,
07,11,pages.marketingIntel.attrData.tabAnomalyDesc,Zスコア監視,pages,1,
07,12,pages.marketingIntel.attrData.abWinner,{{name}}が{{prob}}%の確率で最適です。,pages,1,
07,13,pages.marketingIntel.omniChannel.badgeChannelCount,{{n}}チャネル対応,pages,1,
07,14,pages.marketingIntel.influencer.btnCollapse,▲ 閉じる,pages,1,
07,15,pages.marketingIntel.influencer.btnChannelDetails,▼ チャネル詳細,pages,1,
07,16,pages.marketingIntel.influencer.dupAlert,⚠ 変形なりすまし検出 — ,pages,1,
07,17,pages.marketingIntel.attrData.channelSynergy,⚡ チャネルシナジー,pages,1,
07,18,pages.marketingIntel.campaignMgr.btnAiRecommend,✨ AIマーケティング推奨,pages,1,
07,19,pages.marketingIntel.dashGuide.featuresTitle,✨ 主な機能,pages,1,
07,20,pages.marketingIntel.influencer.tab_ugc,⭐ UGCレビュー,pages,1,
07,21,pages.marketingIntel.sidebar.removeFav,お気に入り解除,pages,1,
07,22,pages.marketingIntel.kakao.delConfirm,このキャンペーンを削除しますか？,pages,1,
07,23,pages.marketingIntel.marketingIntel.pricing.faq2a,はい、いつでもアップグレードできます。差額は日割り計算されます。,pages,1,
07,24,pages.marketingIntel.marketingIntel.pricing.faqTitle,よくある質問,pages,1,
07,25,pages.marketingIntel.cmpRow.r27,アカウント数,pages,1,
07,26,pages.marketingIntel.marketingIntel.pricing.acctSelect,アカウント数選択,pages,1,
07,27,pages.marketingIntel.pricingDetail.pro_s5i3,アクションプリセット管理,pages,1,
07,28,pages.marketingIntel.cmpVal.activity_history,アクティビティ履歴,pages,1,
07,29,pages.marketingIntel.campaignMgr.noActive,アクティブなし,pages,1,
07,30,pages.marketingIntel.campaignMgr.activeRules,アクティブルール,pages,1,
07,31,pages.marketingIntel.influencer.desc_roi,アトリビューション·高閲覧/低購入,pages,1,
07,32,pages.marketingIntel.pricingDetail.pro_s8i3,アトリビューション分析（タッチモデル・ROAS）,pages,1,
07,33,pages.marketingIntel.pricingDetail.growth_s1i5,アラートポリシー一覧＆ログ,pages,1,
07,34,pages.marketingIntel.pricingDetail.pro_s5i2,アラート評価モデル,pages,1,
07,35,pages.marketingIntel.pricingDetail.pro_s8i4,イベント収集・データスキーマ・マッピング,pages,1,
07,36,pages.marketingIntel.pricingDetail.ent_s4i4,イベント正規化全管理,pages,1,
07,37,pages.marketingIntel.cmpVal.install_analysis,インストール・分析,pages,1,
07,38,pages.marketingIntel.influencer.title,インフルエンサー & UGCハブ,pages,1,
07,39,pages.marketingIntel.pricingDetail.pro_l6,インフルエンサーDB・キャンペーン実行 — Enterprise,pages,1,
07,40,pages.marketingIntel.influencer.sub,インフルエンサー·UGCハブ,pages,1,
07,41,pages.marketingIntel.tabs.influencerDesc,インフルエンサー·UGC成果分析,pages,1,
07,42,pages.marketingIntel.dashGuide.tabInfluencer,インフルエンサーマーケティング成果を追跡し、AI評価エンジンを活用できます。,pages,1,
07,43,pages.marketingIntel.pricingDetail.pro_s9i4,インフルエンサー実績表示,pages,1,
07,44,pages.marketingIntel.marketingIntel.tabs.influencerDesc,インフルエンサー成果追跡,pages,1,
07,45,pages.marketingIntel.channelKpi.webTraffic,ウェブトラフィック誘導,pages,1,
07,46,pages.marketingIntel.esgEnergy,エネルギー使用量,pages,1,
07,47,pages.marketingIntel.dashGuide.feat5Title,エンタープライズセキュリティ,pages,1,
07,48,pages.marketingIntel.dashGuide.tabCommerce,オムニチャネルコマース売上と精算を統合管理します。,pages,1,
07,49,pages.marketingIntel.cmpRow.r9,オムニチャネルメッセージング,pages,1,
07,50,pages.marketingIntel.dashGuide.step5Desc,オムニチャネル売上、注文処理状況、精算内訳を確認できます。各チャネルの手数料が自動反映されます。,pages,1,
07,51,pages.marketingIntel.pricingDetail.free_s1i3,オンボーディングガイド,pages,1,
07,52,pages.marketingIntel.graphScore.count,カウント,pages,1,
07,53,pages.marketingIntel.kakao.noChannels,カカオチャネルが接続されていません。統合ハブでAPIキーを登録してください。,pages,1,
07,54,pages.marketingIntel.pricingDetail.ent_s6i2,カカオビズボード（大型広告）,pages,1,
07,55,pages.marketingIntel.campaignMgr.noKakao,カカオ履歴なし,pages,1,
07,56,pages.marketingIntel.campaignMgr.kakaoTitle,カカオ通知,pages,1,
07,57,pages.marketingIntel.pricingDetail.growth_s3i4,カカオ通知トーク・フレンドトーク・統計,pages,1,
07,58,pages.marketingIntel.cmpRow.r28,カスタマーサポート,pages,1,
07,59,pages.marketingIntel.attrData.noJourneyData,カスタマージャーニーデータが連携されると自動的に分析が開始されます。,pages,1,
07,60,pages.marketingIntel.pricingDetail.growth_l2,カスタマージャーニービルダー — Pro以上,pages,1,
07,61,pages.marketingIntel.pricingDetail.pro_s2,カスタマージャーニービルダー（新）,pages,1,
07,62,pages.marketingIntel.pricingDetail.ent_s5i4,カスタムWebhook高度設定,pages,1,
07,63,pages.marketingIntel.pricingDetail.ent_s9i1,カスタムダッシュボード設定,pages,1,
07,64,pages.marketingIntel.pricingDetail.growth_s5i4,カスタムレポート・Excel出力,pages,1,
07,65,pages.marketingIntel.cmpVal.custom_excel,カスタム・Excel,pages,1,
07,66,pages.marketingIntel.pricingDetail.ent_s9i4,カスタム研修・ワークショップ,pages,1,
07,67,pages.marketingIntel.marketingIntel.pricing.faq4a,カスタム見積もりが必要です。contact@genie-roi.comへお問い合わせください。,pages,1,
07,68,pages.marketingIntel.pricingDetail.ent_s9,カスタム＆専用サービス,pages,1,
07,69,pages.marketingIntel.cartAdds,カート追加,pages,1,
07,70,pages.marketingIntel.esgGovernance,ガバナンス,pages,1,
07,71,pages.marketingIntel.omniChannel.statusCancelReq,キャンセル要請,pages,1,
07,72,pages.marketingIntel.marketingIntel.tabs.marketingDesc,キャンペーンROI・成果分析,pages,1,
07,73,pages.marketingIntel.campaignMgr.selectCampaignHint,キャンペーンを選択,pages,1,
07,74,pages.marketingIntel.campaignMgr.ganttTitle,キャンペーンスケジュール,pages,1,
07,75,pages.marketingIntel.cmpVal.campaign_settle,キャンペーン・精算,pages,1,
07,76,pages.marketingIntel.campaignMgr.abSub,キャンペーン素材A/Bテスト,pages,1,
07,77,pages.marketingIntel.pricingDetail.growth_s1i2,キャンペーン設定・管理・リスト・レポート,pages,1,
07,78,pages.marketingIntel.pricingDetail.free_s1i2,クイックリンク,pages,1,
07,79,pages.marketingIntel.guideRoiDesc,クリエイター/コンテンツROI分析,pages,1,
07,80,pages.marketingIntel.influencer.subtitle,クリエイターID統合(複製/なりすまし)·モジュール式契約·自動精算·ROIランキング·コンテンツ再利用提案,pages,1,
07,81,pages.marketingIntel.creatorRevenue,クリエイター売上,pages,1,
07,82,pages.marketingIntel.totalCreators,クリエイター数,pages,1,
07,83,pages.marketingIntel.creatorSettlement,クリエイター精算,pages,1,
07,84,pages.marketingIntel.dashGuide.feat2Title,クロスモジュール統合,pages,1,
07,85,pages.marketingIntel.pricingDetail.growth_l3,グローバルチャネル — Pro以上,pages,1,
07,86,pages.marketingIntel.pricingDetail.pro_s3,グローバルチャネル全体（新）,pages,1,
07,87,pages.marketingIntel.dashGuide.tip4,グローバル売上タブで国をクリックすると詳細分析が表示されます。,pages,1,
07,88,pages.marketingIntel.marketingIntel.tabs.salesDesc,グローバル売上・地域分析,pages,1,
07,89,pages.marketingIntel.dashGuide.feat3Title,グローバル多言語対応,pages,1,
07,90,pages.marketingIntel.dashGuide.tabSales,グローバル市場別売上データをワールドマップと共に可視化します。,pages,1,
07,91,pages.marketingIntel.attrData.explainShapley,ゲーム理論に基づく公正なチャネル貢献度を算出。すべてのチャネル組合せ(2^n)を精密計算。,pages,1,
07,92,pages.marketingIntel.marketingIntel.pricing.savingTitle,コスト削減効果,pages,1,
07,93,pages.marketingIntel.cmpVal.cohort_pl,コホート・P&L,pages,1,
07,94,pages.marketingIntel.tabs.commerce,コマース·決済,pages,1,
07,95,pages.marketingIntel.cmpRow.r11,コマースチャネル連携,pages,1,
07,96,pages.marketingIntel.marketingIntel.tabs.commerce,コマース・精算,pages,1,
07,97,pages.marketingIntel.dashGuide.step5Title,コマース・精算管理,pages,1,
07,98,pages.marketingIntel.pricingDetail.growth_s4,コマース＆物流（国内）,pages,1,
07,99,pages.marketingIntel.contentAttribBreakdown,コンテンツ別貢献度,pages,1,
07,100,pages.marketingIntel.contentAttribution,コンテンツ貢献度,pages,1,
07,101,pages.marketingIntel.contentAttribRate,コンテンツ貢献率,pages,1,
07,102,pages.marketingIntel.pricingDetail.ent_s3i5,コンバージョンパス分析,pages,1,
07,103,pages.marketingIntel.pricingDetail.free_s3,サブスクリプション＆請求,pages,1,
07,104,pages.marketingIntel.pricingDetail.growth_s8i3,サポートチケット,pages,1,
07,105,pages.marketingIntel.cmpVal.server_side,サーバーサイド,pages,1,
07,106,pages.marketingIntel.dashGuide.tabSystem,システムインフラ状態とセキュリティ監視を提供します。,pages,1,
07,107,pages.marketingIntel.pricingDetail.ent_s7i4,システムモニタアラート設定,pages,1,
07,108,pages.marketingIntel.marketingIntel.tabs.systemDesc,システム・インフラ監視,pages,1,
07,109,pages.marketingIntel.pricingDetail.pro_s10i3,システム状態・APIモニタリング,pages,1,
07,110,pages.marketingIntel.dashGuide.step6Desc,システム現況タブでAPI状態、インフラレイテンシ、セキュリティ脅威をリアルタイムで監視できます。,pages,1,
07,111,pages.marketingIntel.pricingDetail.pro_s2i1,ジャーニーキャンバス（ドラッグ＆ドロップ）,pages,1,
07,112,pages.marketingIntel.pricingDetail.pro_s2i3,ジャーニーパフォーマンス統計分析,pages,1,
07,113,pages.marketingIntel.attrData.dataIncluded,ジャーニー実行・AI推奨データがモデル貢献度に含まれます,pages,1,
07,114,pages.marketingIntel.cmpVal.schema_quality_view,スキーマ・品質表示,pages,1,
07,115,pages.marketingIntel.influencer.desc_ai_eval,スコア·コミッション推薦·更新勧告,pages,1,
07,116,pages.marketingIntel.descGuide,ステップガイド・プロのヒント,pages,1,
07,117,pages.marketingIntel.dashGuide.tip3,セキュリティアラート発生時は即座に確認してください。,pages,1,
07,118,pages.marketingIntel.attrData.timeDecay,タイムディケイ,pages,1,
07,119,pages.marketingIntel.campaignMgr.guideTabsTitle,タブガイド,pages,1,
07,120,pages.marketingIntel.dashGuide.step2Desc,ダッシュボードのメイン画面で総売上、広告費、ROAS、注文数、コンバージョン率、平均注文額をリアルタイムで確認できます。,pages,1,
07,121,pages.marketingIntel.marketingIntel.tabs.guideDesc,ダッシュボード使い方案内,pages,1,
07,122,pages.marketingIntel.pricingDetail.ent_s7i6,ダッシュボード外部共有・埋め込み,pages,1,
07,123,pages.marketingIntel.attrData.badgeUplift,ダブルMLアップリフト,pages,1,
07,124,pages.marketingIntel.cmpVal.chat_support,チャットサポート,pages,1,
07,125,pages.marketingIntel.dashGuide.step4Title,チャネルKPIモニタリング,pages,1,
07,126,pages.marketingIntel.pricingDetail.growth_s2i4,チャネルKPI（表示・CTR・CVR・CPA/CPC）,pages,1,
07,127,pages.marketingIntel.pricingDetail.ent_s3i4,チャネルアトリビューション全モデル,pages,1,
07,128,pages.marketingIntel.pricingDetail.pro_s6i1,チャネルレビュー収集・感情分析,pages,1,
07,129,pages.marketingIntel.pricingDetail.pro_s9i2,チャネル・商品・トレンド別P&L,pages,1,
07,130,pages.marketingIntel.marketingIntel.tabs.channelDesc,チャネル別KPI監視,pages,1,
07,131,pages.marketingIntel.attrData.guideLtvDesc,チャネル別LTVとCACを比較し投資効率を評価。,pages,1,
07,132,pages.marketingIntel.tabs.channelDesc,チャネル別主要KPI,pages,1,
07,133,pages.marketingIntel.channelPerfDetail,チャネル別成果詳細,pages,1,
07,134,pages.marketingIntel.settleByChannel,チャネル別精算,pages,1,
07,135,pages.marketingIntel.omniChannel.overviewTitle,チャネル別統合分析,pages,1,
07,136,pages.marketingIntel.attrData.channelContrib,チャネル別貢献売上,pages,1,
07,137,pages.marketingIntel.attrData.tabLtvDesc,チャネル効率,pages,1,
07,138,pages.marketingIntel.dashGuide.feat4Title,チャネル手数料自動反映,pages,1,
07,139,pages.marketingIntel.pricingDetail.free_l2,チャネル連携なし,pages,1,
07,140,pages.marketingIntel.pricingDetail.growth_s7,チャネル＆データ連携（国内）,pages,1,
07,141,pages.marketingIntel.pricingDetail.pro_s10i2,チームアクティビティ監査,pages,1,
07,142,pages.marketingIntel.pricingDetail.growth_s8i1,チームメンバー一覧・招待,pages,1,
07,143,pages.marketingIntel.teamSpecificTotal,チーム別合計,pages,1,
07,144,pages.marketingIntel.pricingDetail.free_s2,チーム＆ヘルプ,pages,1,
07,145,pages.marketingIntel.omniChannel.demoTestMsg,デモモードではテストできません,pages,1,
07,146,pages.marketingIntel.omniChannel.demoSaveMsg,デモモードでは保存できません,pages,1,
07,147,pages.marketingIntel.omniChannel.demoStatusMsg,デモモードでは変更できません,pages,1,
07,148,pages.marketingIntel.cmpRow.r20,データガバナンス,pages,1,
07,149,pages.marketingIntel.pricingDetail.pro_l4,データ製品SLA・ガバナンス — Enterprise,pages,1,
07,150,pages.marketingIntel.pricingDetail.ent_s4,データ製品ガバナンス（新）,pages,1,
