batch,idx,sample_path,ja_value,ns,occurrences,proposed_ko
05,1,crm.aiHub.catalogSync.reportBuilder.guideWidgetKpi,売上、ROAS、注文、CVRの4大指標を要約します。,crm,1,
05,2,crm.aiHub.dashGuide.tabOverview,売上、注文数、訪問者、ROASなどの統合KPIを表示します。,crm,1,
05,3,crm.aiHub.catalogSync.pnl.guideSecOverview,売上から営業利益までのウォーターフォールとKPIを一覧で確認します。,crm,1,
05,4,crm.aiHub.catalogSync.pnl.waterfallDesc,売上から営業利益までのフローを段階的に可視化します。,crm,1,
05,5,crm.aiHub.catalogSync.reportBuilder.widgetRevenueTrend,売上トレンド,crm,1,
05,6,crm.aiHub.catalogSync.reportBuilder.tplRevenueDesc,売上トレンド、広告費、チャネル構成比を分析します。,crm,1,
05,7,crm.aiHub.catalogSync.reportBuilder.guideWidgetRevenue,売上トレンドをエリアチャートで追跡します。,crm,1,
05,8,crm.aiHub.catalogSync.reportBuilder.tplRevenue,売上レポート,crm,1,
05,9,crm.email.dt.srcPnLDesc,売上・在庫ベースの推定計算,crm,1,
05,10,crm.email.mr.kpiNoChange,変化なし,crm,1,
05,11,crm.aiHub.sms.tplVars,変数（カンマ区切り）,crm,1,
05,12,crm.aiHub.catalogSync.changePreview,変更プレビュー,crm,1,
05,13,crm.email.mr.tabApprovalDesc,変更承認・監査ログ,crm,1,
05,14,crm.email.mr.kpiChanged,変更済み,crm,1,
05,15,crm.aiHub.journey.guideNodeWebhook,外部システムにデータを送信します。,crm,1,
05,16,crm.aiHub.guideNodeWebhook,外部システムにデータを送信します（HTTP POST/GET）。,crm,1,
05,17,crm.aiHub.guideSettleDesc,契約ベース自動精算·過払い/未払い検出·税金自動控除,crm,1,
05,18,crm.aiHub.catalogSync.journey.guideStartBtn,始める,crm,1,
05,19,crm.aiHub.catalogSync.stockThreshold,安全在庫しきい値,crm,1,
05,20,crm.email.ds.definedMetrics,定義済みメトリクス,crm,1,
05,21,crm.aiHub.catalogSync.ds.definedMetrics,定義済み指標,crm,1,
05,22,crm.aiHub.webPopup.noAbTests,実行中のA/Bテストなし,crm,1,
05,23,crm.aiHub.catalogSync.pnl.noActions,実行計画なし,crm,1,
05,24,crm.aiHub.catalogSync.betaModeDesc,実際のチャネルAPI呼び出しなしでシミュレーションされます。有料プランで実際の連携が利用可能です。,crm,1,
05,25,crm.aiHub.catalogSync.caseStudy.emptyDesc,実際の導入企業の事例が登録されるとここに表示されます。連携ハブでチャネルを接続し、実績データを蓄積してください。,crm,1,
05,26,crm.aiHub.catalogSync.ihub.suppCh,対応チャネル,crm,1,
05,27,crm.email.ds.badgePlatforms,対応プラットフォーム,crm,1,
05,28,crm.aiHub.crm.email.fTarget,対象セグメント,crm,1,
05,29,crm.aiHub.catalogSync.caseStudy.ctaGuide,導入ガイド,crm,1,
05,30,crm.aiHub.sms.providerAligoDesc,小規模/スタートアップ向け,crm,1,
05,31,crm.email.alertAuto.noAlerts,履歴なし,crm,1,
05,32,crm.aiHub.catalogSync.reportBuilder.dropHereDesc,左のウィジェットライブラリからドラッグしてください,crm,1,
05,33,crm.email.ds.fAccountId,広告アカウントID,crm,1,
05,34,crm.email.ds.fAdsetId,広告セット/グループID,crm,1,
05,35,crm.email.ds.fAdsetName,広告セット名,crm,1,
05,36,crm.aiHub.catalogSync.dt.srcAdROASDesc,広告パフォーマンス・ROASデータ,crm,1,
05,37,crm.email.dt.qualityLiveDesc,広告ピクセル/チャネルAPI/精算レポートから直接収集されたオリジナルデータ。最高の信頼度。,crm,1,
05,38,crm.email.dt.pixelTitle,広告ピクセル＆コンバージョンAPI連携,crm,1,
05,39,crm.email.conn.dwArchAd,広告プラットフォーム,crm,1,
05,40,crm.aiHub.catalogSync.dt.improveStep1,広告プラットフォームAPIキーを連動ハブで登録してください,crm,1,
05,41,crm.aiHub.catalogSync.ds.heroDesc,広告・コマース・UGC全ドメインの統合スキーマ、パイプライン、指標、アラートルールを管理します。,crm,1,
05,42,crm.aiHub.catalogSync.reportBuilder.guideWidgetSpend,広告費の推移をエリアチャートで分析します。,crm,1,
05,43,crm.aiHub.catalogSync.reviews.foundHelpful,役に立った,crm,1,
05,44,crm.aiHub.dashGuide.tipsTitle,役立つヒント,crm,1,
05,45,crm.aiHub.catalogSync.caseStudy.ctaTitle,御社の成果もGeniego-ROIで実現しましょう,crm,1,
05,46,crm.email.ds.pipeDQDesc,必須フィールドNULLチェック、異常検出,crm,1,
05,47,crm.aiHub.catalogSync.reportBuilder.securityDesc,悪意のある入力が検出されブロックされました。,crm,1,
05,48,crm.aiHub.catalogSync.reviews.trendTitle,感情トレンド分析,crm,1,
05,49,crm.aiHub.reviews.trendTitle,感情分析トレンド,crm,1,
05,50,crm.aiHub.catalogSync.reviews.guideTrendDesc,感情比率分布·トレンドモニタリング·チャネル比較,crm,1,
05,51,crm.aiHub.reviews.guideTrendDesc,感情比率分析と時系列トレンド,crm,1,
05,52,crm.aiHub.catalogSync.pnl.forecastDesc,成長率、広告費比率、手数料、返品率を調整して将来の損益をシミュレーションします。,crm,1,
05,53,crm.aiHub.catalogSync.pnl.descForecast,成長率基盤の損益シミュレーション,crm,1,
05,54,crm.email.settlements.kpiPendingWarn,手動確認が必要,crm,1,
05,55,crm.aiHub.catalogSync.settlements.guideRoleFee,手数料はプラットフォーム、広告、決済、返金に分類されます。,crm,1,
05,56,crm.email.catalogSync.approvalNoteText,承認後、全チャネルまたは選択チャネルに販売登録が進行されます。,crm,1,
