ko_value,count,path,ja_value,en_value,suggested_ko
System Monitor Alert Setup,1,pages.pricingDetail.ent_s7i4,System Monitor Alert Setup,System Monitor Alert Setup,시스템 모니터 알림 설정
Auto Report Generate·Scheduled Send,1,pages.pricingDetail.ent_s7i5,Auto Report Generate·Scheduled Send,Auto Report Generate·Scheduled Send,자동 리포트 생성·예약 발송
Dashboard External Share·Embed,1,pages.pricingDetail.ent_s7i6,Dashboard External Share·Embed,Dashboard External Share·Embed,대시보드 외부 공유·임베드
Pro All Included + Unlimited,1,pages.pricingDetail.ent_s8,Pro All Included + Unlimited,Pro All Included + Unlimited,Pro 전체 기능 포함 + 무제한
All Pro Plan Features Included,1,pages.pricingDetail.ent_s8i1,All Pro Plan Features Included,All Pro Plan Features Included,Pro 플랜 전체 기능 포함
Unlimited Accounts·Users·Team Members,1,pages.pricingDetail.ent_s8i2,Unlimited Accounts·Users·Team Members,Unlimited Accounts·Users·Team Members,계정·사용자·팀원 무제한
Priority Support SLA,1,pages.pricingDetail.ent_s8i3,Priority Support SLA,Priority Support SLA,우선 지원 SLA
Dedicated Onboarding Consulting·Annual Training,1,pages.pricingDetail.ent_s8i4,Dedicated Onboarding Consulting·Annual Training,Dedicated Onboarding Consulting·Annual Training,전담 온보딩 컨설팅·연간 교육
Custom & Dedicated Services,1,pages.pricingDetail.ent_s9,Custom & Dedicated Services,Custom & Dedicated Services,맞춤형·전담 서비스
Custom Dashboard Configuration,1,pages.pricingDetail.ent_s9i1,Custom Dashboard Configuration,Custom Dashboard Configuration,맞춤 대시보드 구성
Dedicated Manager Assignment,1,pages.pricingDetail.ent_s9i2,Dedicated Manager Assignment,Dedicated Manager Assignment,전담 매니저 배정
Annual Contract-based Custom Discount,1,pages.pricingDetail.ent_s9i3,Annual Contract-based Custom Discount,Annual Contract-based Custom Discount,연간 계약 기반 맞춤 할인
Custom Training·Workshop,1,pages.pricingDetail.ent_s9i4,Custom Training·Workshop,Custom Training·Workshop,맞춤 교육·워크숍
Ent_tagline,1,pages.pricingDetail.ent_tagline,Ent_tagline,Ent_tagline,엔터프라이즈 플랜 태그라인
Experience the full Geniego-ROI platform instantly upon signup.,1,pages.pricingDetail.free_desc,Experience the full Geniego-ROI platform instantly upon signup.,Experience the full Geniego-ROI platform instantly upon signup.,가입 즉시 Geniego-ROI 플랫폼 전체 기능을 체험해보세요.
Experience Plan,1,pages.pricingDetail.free_headline,Experience Plan,Experience Plan,체험 플랜
No real-time data,1,pages.pricingDetail.free_l1,No real-time data,No real-time data,실시간 데이터 미지원
No live channel integration,1,pages.pricingDetail.free_l2,No live channel integration,No live channel integration,실시간 채널 연동 미지원
No save or download,1,pages.pricingDetail.free_l3,No save or download,No save or download,저장·다운로드 미지원
KPI Widgets (),1,pages.pricingDetail.free_s1i1,KPI Widgets (),KPI Widgets (),KPI 위젯
Quick Links,1,pages.pricingDetail.free_s1i2,Quick Links,Quick Links,빠른 링크
Onboarding Guide,1,pages.pricingDetail.free_s1i3,Onboarding Guide,Onboarding Guide,온보딩 가이드
My Team & Help,1,pages.pricingDetail.free_s2,My Team & Help,My Team & Help,내 팀 & 도움말
Video Tutorials,1,pages.pricingDetail.free_s2i2,Video Tutorials,Video Tutorials,동영상 튜토리얼
Release Notes,1,pages.pricingDetail.free_s2i3,Release Notes,Release Notes,릴리스 노트
Subscription & Billing,1,pages.pricingDetail.free_s3,Subscription & Billing,Subscription & Billing,구독 & 결제
View Current Plan,1,pages.pricingDetail.free_s3i1,View Current Plan,View Current Plan,현재 플랜 보기
Upgrade Plan,1,pages.pricingDetail.free_s3i2,Upgrade Plan,Upgrade Plan,플랜 업그레이드
Free_tagline,1,pages.pricingDetail.free_tagline,Free_tagline,Free_tagline,무료 플랜 태그라인
Grow your revenue with domestic commerce channels and basic CRM automation.,1,pages.pricingDetail.growth_desc,Grow your revenue with domestic commerce channels and basic CRM automation.,Grow your revenue with domestic commerce channels and basic CRM automation.,국내 커머스 채널과 기본 CRM 자동화로 매출 성장을 시작해보세요.
Growth_headline,1,pages.pricingDetail.growth_headline,Growth_headline,Growth_headline,그로스 플랜
AI Forecast (Churn·LTV) — Pro+,1,pages.pricingDetail.growth_l1,AI Forecast (Churn·LTV) — Pro+,AI Forecast (Churn·LTV) — Pro+,AI 예측(이탈·LTV) — Pro+
Customer Journey Builder — Pro+,1,pages.pricingDetail.growth_l2,Customer Journey Builder — Pro+,Customer Journey Builder — Pro+,고객 여정 빌더 — Pro+
Global Channels (WhatsApp·LINE·DM) — Pro+,1,pages.pricingDetail.growth_l3,Global Channels (WhatsApp·LINE·DM) — Pro+,Global Channels (WhatsApp·LINE·DM) — Pro+,글로벌 채널(WhatsApp·LINE·DM) — Pro+
AI Rule Engine — Pro+,1,pages.pricingDetail.growth_l4,AI Rule Engine — Pro+,AI Rule Engine — Pro+,AI 룰 엔진 — Pro+
1st-Party Pixel·API Keys — Pro+,1,pages.pricingDetail.growth_l5,1st-Party Pixel·API Keys — Pro+,1st-Party Pixel·API Keys — Pro+,퍼스트파티 픽셀·API 키 — Pro+
SmartConnect ERP Integration — Pro+,1,pages.pricingDetail.growth_l6,SmartConnect ERP Integration — Pro+,SmartConnect ERP Integration — Pro+,SmartConnect ERP 연동 — Pro+
AI Marketing Automation (Core),1,pages.pricingDetail.growth_s1,AI Marketing Automation (Core),AI Marketing Automation (Core),AI 마케팅 자동화(Core)
AI Ad Creative Generation,1,pages.pricingDetail.growth_s1i1,AI Ad Creative Generation,AI Ad Creative Generation,AI 광고 크리에이티브 생성
Campaign Setup·Manage·List·Report,1,pages.pricingDetail.growth_s1i2,Campaign Setup·Manage·List·Report,Campaign Setup·Manage·List·Report,캠페인 설정·관리·목록·리포트
Alert Policy List & Logs,1,pages.pricingDetail.growth_s1i5,Alert Policy List & Logs,Alert Policy List & Logs,알림 정책 목록·로그
Ad & Channel Analytics (Domestic),1,pages.pricingDetail.growth_s2,Ad & Channel Analytics (Domestic),Ad & Channel Analytics (Domestic),광고·채널 분석(국내)
Ad Summary·Channel·Product Analysis,1,pages.pricingDetail.growth_s2i1,Ad Summary·Channel·Product Analysis,Ad Summary·Channel·Product Analysis,광고 요약·채널·상품 분석
