ko_value,count,sample_path,sample_ja_value,sample_en_value,suggested_ko
Funnel Title,1,crm.aiHub.catalogSync.pxl.funnelTitle,Funnel Title,Funnel Title,
Funnel Visit,1,crm.aiHub.catalogSync.pxl.funnelVisit,Funnel Visit,Funnel Visit,
Meta C A P I Token,1,crm.aiHub.catalogSync.pxl.metaCAPIToken,Meta C A P I Token,Meta C A P I Token,
Meta Forward,1,crm.aiHub.catalogSync.pxl.metaForward,Meta Forward,Meta Forward,
No Channel Data,1,crm.aiHub.catalogSync.pxl.noChannelData,No Channel Data,No Channel Data,
No Data,1,crm.aiHub.catalogSync.pxl.noDataDesc,No Data,No Data,
No Data Title,1,crm.aiHub.catalogSync.pxl.noDataTitle,No Data Title,No Data Title,
No Events,1,crm.aiHub.catalogSync.pxl.noEvents,No Events,No Events,
No Pixels,1,crm.aiHub.catalogSync.pxl.noPixels,No Pixels,No Pixels,
Pixel List,1,crm.aiHub.catalogSync.pxl.pixelList,Pixel List,Pixel List,
Pixel Name,1,crm.aiHub.catalogSync.pxl.pixelName,Pixel Name,Pixel Name,
Pixel Name Ph,1,crm.aiHub.catalogSync.pxl.pixelNamePh,Pixel Name Ph,Pixel Name Ph,
Realtime Stream,1,crm.aiHub.catalogSync.pxl.realtimeStream,Realtime Stream,Realtime Stream,
Sec Alert,1,crm.aiHub.catalogSync.pxl.secAlert,Sec Alert,Sec Alert,
Sec Blocked,1,crm.aiHub.catalogSync.pxl.secBlocked,Sec Blocked,Sec Blocked,
Sec Input Blocked,1,crm.aiHub.catalogSync.pxl.secInputBlocked,Sec Input Blocked,Sec Input Blocked,
Sec Lock Wait,1,crm.aiHub.catalogSync.pxl.secLockWait,Sec Lock Wait,Sec Lock Wait,
Sec Total,1,crm.aiHub.catalogSync.pxl.secTotal,Sec Total,Sec Total,
Send Event,1,crm.aiHub.catalogSync.pxl.sendEvent,Send Event,Send Event,
Server Side C A P I,1,crm.aiHub.catalogSync.pxl.serverSideCAPI,Server Side C A P I,Server Side C A P I,
Server Side Event,1,crm.aiHub.catalogSync.pxl.serverSideEvent,Server Side Event,Server Side Event,
Snippet Guide1,1,crm.aiHub.catalogSync.pxl.snippetGuide1,Snippet Guide1,Snippet Guide1,
Snippet Guide2,1,crm.aiHub.catalogSync.pxl.snippetGuide2,Snippet Guide2,Snippet Guide2,
Snippet Guide3,1,crm.aiHub.catalogSync.pxl.snippetGuide3,Snippet Guide3,Snippet Guide3,
Snippet Title,1,crm.aiHub.catalogSync.pxl.snippetTitle,Snippet Title,Snippet Title,
Test Event Send,1,crm.aiHub.catalogSync.pxl.testEventSend,Test Event Send,Test Event Send,
Tiktok Forward,1,crm.aiHub.catalogSync.pxl.tiktokForward,Tiktok Forward,Tiktok Forward,
Total Events,1,crm.aiHub.catalogSync.pxl.totalEvents,Total Events,Total Events,
Hack Detected,1,crm.aiHub.catalogSync.security.hackDetected,Hack Detected,Hack Detected,
Fee Rate,1,crm.aiHub.channelFeeRate,Fee Rate,Fee Rate,
Enter a prompt and AI generates campaign ad designs.,1,crm.aiHub.creativeSub,Enter a prompt and AI generates campaign ad designs.,Enter a prompt and AI generates campaign ad designs.,
AI Ad Creative Generator,1,crm.aiHub.creativeTitle,AI Ad Creative Generator,AI Ad Creative Generator,
Data Basis,1,crm.aiHub.dataSource,Data Basis,Data Basis,
Integrated A/B test results.,1,crm.aiHub.guideTabAbDesc,Integrated A/B test results.,Integrated A/B test results.,
A/B Testing,1,crm.aiHub.guideTabAbName,A/B Testing,A/B Testing,
