ko_value,count,sample_path,sample_ja_value,sample_en_value,suggested_ko
System Monitor Alert Setup,1,pages.pricingDetail.ent_s7i4,System Monitor Alert Setup,System Monitor Alert Setup,
Auto Report Generate·Scheduled Send,1,pages.pricingDetail.ent_s7i5,Auto Report Generate·Scheduled Send,Auto Report Generate·Scheduled Send,
Dashboard External Share·Embed,1,pages.pricingDetail.ent_s7i6,Dashboard External Share·Embed,Dashboard External Share·Embed,
Pro All Included + Unlimited,1,pages.pricingDetail.ent_s8,Pro All Included + Unlimited,Pro All Included + Unlimited,
All Pro Plan Features Included,1,pages.pricingDetail.ent_s8i1,All Pro Plan Features Included,All Pro Plan Features Included,
Unlimited Accounts·Users·Team Members,1,pages.pricingDetail.ent_s8i2,Unlimited Accounts·Users·Team Members,Unlimited Accounts·Users·Team Members,
Priority Support SLA,1,pages.pricingDetail.ent_s8i3,Priority Support SLA,Priority Support SLA,
Dedicated Onboarding Consulting·Annual Training,1,pages.pricingDetail.ent_s8i4,Dedicated Onboarding Consulting·Annual Training,Dedicated Onboarding Consulting·Annual Training,
Custom & Dedicated Services,1,pages.pricingDetail.ent_s9,Custom & Dedicated Services,Custom & Dedicated Services,
Custom Dashboard Configuration,1,pages.pricingDetail.ent_s9i1,Custom Dashboard Configuration,Custom Dashboard Configuration,
Dedicated Manager Assignment,1,pages.pricingDetail.ent_s9i2,Dedicated Manager Assignment,Dedicated Manager Assignment,
Annual Contract-based Custom Discount,1,pages.pricingDetail.ent_s9i3,Annual Contract-based Custom Discount,Annual Contract-based Custom Discount,
Custom Training·Workshop,1,pages.pricingDetail.ent_s9i4,Custom Training·Workshop,Custom Training·Workshop,
Ent_tagline,1,pages.pricingDetail.ent_tagline,Ent_tagline,Ent_tagline,
Experience the full Geniego-ROI platform instantly upon signup.,1,pages.pricingDetail.free_desc,Experience the full Geniego-ROI platform instantly upon signup.,Experience the full Geniego-ROI platform instantly upon signup.,
 Experience Plan,1,pages.pricingDetail.free_headline, Experience Plan, Experience Plan,
No real-time data,1,pages.pricingDetail.free_l1,No real-time data,No real-time data,
No live channel integration,1,pages.pricingDetail.free_l2,No live channel integration,No live channel integration,
No save or download,1,pages.pricingDetail.free_l3,No save or download,No save or download,
KPI Widgets (),1,pages.pricingDetail.free_s1i1,KPI Widgets (),KPI Widgets (),
Quick Links,1,pages.pricingDetail.free_s1i2,Quick Links,Quick Links,
Onboarding Guide,1,pages.pricingDetail.free_s1i3,Onboarding Guide,Onboarding Guide,
