ko_value,count,path,ja_value,en_value,suggested_ko
Funnel Title,1,crm.aiHub.catalogSync.pxl.funnelTitle,Funnel Title,Funnel Title,퍼널명
Funnel Visit,1,crm.aiHub.catalogSync.pxl.funnelVisit,Funnel Visit,Funnel Visit,방문 퍼널
Meta C A P I Token,1,crm.aiHub.catalogSync.pxl.metaCAPIToken,Meta C A P I Token,Meta C A P I Token,Meta CAPI 토큰
Meta Forward,1,crm.aiHub.catalogSync.pxl.metaForward,Meta Forward,Meta Forward,Meta 전달 설정
No Channel Data,1,crm.aiHub.catalogSync.pxl.noChannelData,No Channel Data,No Channel Data,채널 데이터가 없습니다
No Data,1,crm.aiHub.catalogSync.pxl.noDataDesc,No Data,No Data,데이터가 없습니다
No Data Title,1,crm.aiHub.catalogSync.pxl.noDataTitle,No Data Title,No Data Title,데이터 없음
No Events,1,crm.aiHub.catalogSync.pxl.noEvents,No Events,No Events,이벤트가 없습니다
No Pixels,1,crm.aiHub.catalogSync.pxl.noPixels,No Pixels,No Pixels,등록된 픽셀이 없습니다
Pixel List,1,crm.aiHub.catalogSync.pxl.pixelList,Pixel List,Pixel List,픽셀 목록
Pixel Name,1,crm.aiHub.catalogSync.pxl.pixelName,Pixel Name,Pixel Name,픽셀명
Pixel Name Ph,1,crm.aiHub.catalogSync.pxl.pixelNamePh,Pixel Name Ph,Pixel Name Ph,픽셀명을 입력해주세요
Realtime Stream,1,crm.aiHub.catalogSync.pxl.realtimeStream,Realtime Stream,Realtime Stream,실시간 스트림
Sec Alert,1,crm.aiHub.catalogSync.pxl.secAlert,Sec Alert,Sec Alert,보안 알림
Sec Blocked,1,crm.aiHub.catalogSync.pxl.secBlocked,Sec Blocked,Sec Blocked,보안 차단
Sec Input Blocked,1,crm.aiHub.catalogSync.pxl.secInputBlocked,Sec Input Blocked,Sec Input Blocked,입력 차단
Sec Lock Wait,1,crm.aiHub.catalogSync.pxl.secLockWait,Sec Lock Wait,Sec Lock Wait,잠금 대기
Sec Total,1,crm.aiHub.catalogSync.pxl.secTotal,Sec Total,Sec Total,전체 보안 건수
Send Event,1,crm.aiHub.catalogSync.pxl.sendEvent,Send Event,Send Event,이벤트 전송
Server Side C A P I,1,crm.aiHub.catalogSync.pxl.serverSideCAPI,Server Side C A P I,Server Side C A P I,서버사이드 CAPI
Server Side Event,1,crm.aiHub.catalogSync.pxl.serverSideEvent,Server Side Event,Server Side Event,서버사이드 이벤트
Snippet Guide1,1,crm.aiHub.catalogSync.pxl.snippetGuide1,Snippet Guide1,Snippet Guide1,스니펫 가이드 1
Snippet Guide2,1,crm.aiHub.catalogSync.pxl.snippetGuide2,Snippet Guide2,Snippet Guide2,스니펫 가이드 2
Snippet Guide3,1,crm.aiHub.catalogSync.pxl.snippetGuide3,Snippet Guide3,Snippet Guide3,스니펫 가이드 3
Snippet Title,1,crm.aiHub.catalogSync.pxl.snippetTitle,Snippet Title,Snippet Title,스니펫 제목
Test Event Send,1,crm.aiHub.catalogSync.pxl.testEventSend,Test Event Send,Test Event Send,테스트 이벤트 전송
Tiktok Forward,1,crm.aiHub.catalogSync.pxl.tiktokForward,Tiktok Forward,Tiktok Forward,TikTok 전달 설정
Total Events,1,crm.aiHub.catalogSync.pxl.totalEvents,Total Events,Total Events,총 이벤트 수
Hack Detected,1,crm.aiHub.catalogSync.security.hackDetected,Hack Detected,Hack Detected,해킹 시도가 감지되었습니다
Fee Rate,1,crm.aiHub.channelFeeRate,Fee Rate,Fee Rate,수수료율
Enter a prompt and AI generates campaign ad designs.,1,crm.aiHub.creativeSub,Enter a prompt and AI generates campaign ad designs.,Enter a prompt and AI generates campaign ad designs.,프롬프트를 입력하면 AI가 캠페인 광고 디자인을 자동 생성합니다.
AI Ad Creative Generator,1,crm.aiHub.creativeTitle,AI Ad Creative Generator,AI Ad Creative Generator,AI 광고 크리에이티브 생성기
Data Basis,1,crm.aiHub.dataSource,Data Basis,Data Basis,데이터 기준
Integrated A/B test results.,1,crm.aiHub.guideTabAbDesc,Integrated A/B test results.,Integrated A/B test results.,통합 A/B 테스트 결과를 제공합니다.
A/B Testing,1,crm.aiHub.guideTabAbName,A/B Testing,A/B Testing,A/B 테스트
Automatic budget alert system.,1,crm.aiHub.guideTabBudgetDesc,Automatic budget alert system.,Automatic budget alert system.,자동 예산 알림 시스템입니다.
Budget Alerts,1,crm.aiHub.guideTabBudgetName,Budget Alerts,Budget Alerts,예산 알림
AI-powered ad copy generator.,1,crm.aiHub.guideTabCopyDesc,AI-powered ad copy generator.,AI-powered ad copy generator.,AI 기반 광고 카피 생성 기능입니다.
AI Copywriter,1,crm.aiHub.guideTabCopyName,AI Copywriter,AI Copywriter,AI 카피라이터
AI ad image generator with 16 scene types.,1,crm.aiHub.guideTabCreativeDesc,AI ad image generator with 16 scene types.,AI ad image generator with 16 scene types.,16개 장면 유형을 지원하는 AI 광고 이미지 생성 기능입니다.
Email and KakaoTalk status.,1,crm.aiHub.guideTabCrmDesc,Email and KakaoTalk status.,Email and KakaoTalk status.,이메일 및 카카오톡 발송 상태입니다.
CRM Channels,1,crm.aiHub.guideTabCrmName,CRM Channels,CRM Channels,CRM 채널
KPI targets vs actuals.,1,crm.aiHub.guideTabDetailDesc,KPI targets vs actuals.,KPI targets vs actuals.,KPI 목표 대비 실적입니다.
Detail Analysis,1,crm.aiHub.guideTabDetailName,Detail Analysis,Detail Analysis,상세 분석
Gantt chart visualization.,1,crm.aiHub.guideTabGanttDesc,Gantt chart visualization.,Gantt chart visualization.,간트 차트 시각화 기능입니다.
Live KPI monitoring.,1,crm.aiHub.guideTabMonitorDesc,Live KPI monitoring.,Live KPI monitoring.,실시간 KPI 모니터링 기능입니다.
Real-time Monitor,1,crm.aiHub.guideTabMonitorName,Real-time Monitor,Real-time Monitor,실시간 모니터링
