ko_value,count,path,ja_value,en_value,suggested_ko
Settlement Chs,1,ruleEnginePage.dash.settlementChs,Settlement Chs,Settlement Chs,정산 채널
Shopee SG,1,ruleEnginePage.dash.shopeeName,Shopee SG,Shopee SG,Shopee SG
Naver Store,1,ruleEnginePage.dash.smartstoreName,Naver Store,Naver Store,네이버 스토어
Settlement Complete,1,ruleEnginePage.dash.syncSettled,Settlement Complete,Settlement Complete,정산 완료
Threat Detected,1,ruleEnginePage.dash.threatDetected,Threat Detected,Threat Detected,위협 감지됨
threats detected,1,ruleEnginePage.dash.threatsDetected,threats detected,threats detected,건의 위협 감지됨
Top Regions,1,ruleEnginePage.dash.topRegRev,Top Regions,Top Regions,상위 지역
times,1,ruleEnginePage.dash.unitTimes,times,times,회
Ad Account,1,ruleEnginePage.marketing.adAccountFilter,Ad Account,Ad Account,광고 계정
Sub Account 1,1,ruleEnginePage.marketing.adFilterSub,Sub Account 1,Sub Account 1,서브 계정 1
Ad Meta Dynamic Chart Performance,1,ruleEnginePage.marketing.adMetaDynChart,Ad Meta Dynamic Chart Performance,Ad Meta Dynamic Chart Performance,Meta 동적 광고 성과
Performance during the selected active period.,1,ruleEnginePage.marketing.adTableSub,Performance during the selected active period.,Performance during the selected active period.,선택한 기간의 성과입니다.
Ad Performance Detail (Campaign/Ad Set),1,ruleEnginePage.marketing.adTableTitle,Ad Performance Detail (Campaign/Ad Set),Ad Performance Detail (Campaign/Ad Set),광고 성과 상세 (캠페인/광고 세트)
Ai Reason Detail,1,ruleEnginePage.marketing.aiReasonDetail,Ai Reason Detail,Ai Reason Detail,AI 판단 근거 상세
Approved By,1,ruleEnginePage.marketing.approvedBy,Approved By,Approved By,승인자
Bg Period Monthly,1,ruleEnginePage.marketing.bgPeriodMonthly,Bg Period Monthly,Bg Period Monthly,월별
Bg Period Quarterly,1,ruleEnginePage.marketing.bgPeriodQuarterly,Bg Period Quarterly,Bg Period Quarterly,분기별
Bg Period Yearly,1,ruleEnginePage.marketing.bgPeriodYearly,Bg Period Yearly,Bg Period Yearly,연도별
Bg Planner,1,ruleEnginePage.marketing.bgPlannerDesc,Bg Planner,Bg Planner,예산 플래너 안내
Google（YouTube）,1,ruleEnginePage.marketing.ch_google,Google（YouTube）,Google（YouTube）,Google（YouTube）
CPA Cost,1,ruleEnginePage.marketing.colCpa,CPA Cost,CPA Cost,CPA
Col Item Name,1,ruleEnginePage.marketing.colItemName,Col Item Name,Col Item Name,항목명
Actual Conversions,1,ruleEnginePage.marketing.colResultConv,Actual Conversions,Actual Conversions,실제 전환 수
Default Team,1,ruleEnginePage.marketing.defaultTeam,Default Team,Default Team,기본 팀
Explain Cat Insight,1,ruleEnginePage.marketing.explainCatInsight,Explain Cat Insight,Explain Cat Insight,카테고리 인사이트 설명
Explain Ch Why,1,ruleEnginePage.marketing.explainChWhy,Explain Ch Why,Explain Ch Why,채널 판단 근거
Explain Edit Note,1,ruleEnginePage.marketing.explainEditNote,Explain Edit Note,Explain Edit Note,편집 메모 설명
Explain Title,1,ruleEnginePage.marketing.explainTitle,Explain Title,Explain Title,설명
Mem Access Saved,1,ruleEnginePage.marketing.memAccessSaved,Mem Access Saved,Mem Access Saved,멤버 접근 권한 저장 완료
Average CPC,1,ruleEnginePage.marketing.metricCpc,Average CPC,Average CPC,평균 CPC
Average CPM,1,ruleEnginePage.marketing.metricCpm,Average CPM,Average CPM,평균 CPM
Average CTR,1,ruleEnginePage.marketing.metricCtr,Average CTR,Average CTR,평균 CTR
Return on Ad Spend (ROAS),1,ruleEnginePage.marketing.metricRoas,Return on Ad Spend (ROAS),Return on Ad Spend (ROAS),광고 수익률 (ROAS)
Daily Spend,1,ruleEnginePage.marketing.metricSpend,Daily Spend,Daily Spend,일별 광고비
Detailed Ad Media Performance,1,ruleEnginePage.marketing.mktHierTitle,Detailed Ad Media Performance,Detailed Ad Media Performance,광고 매체 상세 성과
🔴 LIVE,1,ruleEnginePage.marketing.realModeLabel,🔴 LIVE,🔴 LIVE,🔴 LIVE
Status Approved,1,ruleEnginePage.marketing.statusApproved,Status Approved,Status Approved,승인됨
Status Paused,1,ruleEnginePage.marketing.statusPaused,Status Paused,Status Paused,일시정지
Status Pending,1,ruleEnginePage.marketing.statusPending,Status Pending,Status Pending,대기 중
Status Rejected,1,ruleEnginePage.marketing.statusRejected,Status Rejected,Status Rejected,반려됨
Ad Set Level,1,ruleEnginePage.marketing.tabAdset,Ad Set Level,Ad Set Level,광고 세트 레벨
Root_page Title_ai Policy,1,ruleEnginePage.root_pageTitle_aiPolicy,Root_page Title_ai Policy,Root_page Title_ai Policy,AI 정책
Root_page Title_approvals,1,ruleEnginePage.root_pageTitle_approvals,Root_page Title_approvals,Root_page Title_approvals,승인 관리
Root_page Title_integration Hub,1,ruleEnginePage.root_pageTitle_integrationHub,Root_page Title_integration Hub,Root_page Title_integration Hub,연동 허브
Root_page Title_marketing,1,ruleEnginePage.root_pageTitle_marketing,Root_page Title_marketing,Root_page Title_marketing,마케팅
Root_page Title_onboarding,1,ruleEnginePage.root_pageTitle_onboarding,Root_page Title_onboarding,Root_page Title_onboarding,온보딩
Root_page Title_writeback,1,ruleEnginePage.root_pageTitle_writeback,Root_page Title_writeback,Root_page Title_writeback,Writeback
Add a comment to the current view...,1,ruleEnginePage.super.aaAddCmt,Add a comment to the current view...,Add a comment to the current view...,현재 화면에 코멘트를 추가하세요...
🔷 Data Warehouse,1,ruleEnginePage.super.conTabDw,🔷 Data Warehouse,🔷 Data Warehouse,🔷 데이터 웨어하우스
🟢 Connected,1,ruleEnginePage.super.ihConnected,🟢 Connected,🟢 Connected,🟢 연결됨
Connecting...,1,ruleEnginePage.super.ihConnecting,Connecting...,Connecting...,연결 중...
📊 Widget Library,1,ruleEnginePage.super.rbLib,📊 Widget Library,📊 Widget Library,📊 위젯 라이브러리
🛠️ Custom Report Builder,1,ruleEnginePage.super.rbTitle,🛠️ Custom Report Builder,🛠️ Custom Report Builder,🛠️ 맞춤 리포트 빌더
Adjust Inventory,1,ruleEnginePage.wms.adjustInventory,Adjust Inventory,Adjust Inventory,재고 조정
Stock adjustment will be reflected in In/Out tab.,1,ruleEnginePage.wms.auditAdjAlert,Stock adjustment will be reflected in In/Out tab.,Stock adjustment will be reflected in In/Out tab.,재고 조정 내역은 입출고 탭에 반영됩니다.
