ko_value,count,path,ja_value,en_value,suggested_ko
Data From,1,pages.marketingIntel.helpPanel.dataFrom,Data From,Data From,데이터 출처
Default Step1,1,pages.marketingIntel.helpPanel.defaultStep1,Default Step1,Default Step1,기본 단계 1
Default Step2,1,pages.marketingIntel.helpPanel.defaultStep2,Default Step2,Default Step2,기본 단계 2
Default Summary,1,pages.marketingIntel.helpPanel.defaultSummary,Default Summary,Default Summary,기본 요약
Default Title,1,pages.marketingIntel.helpPanel.defaultTitle,Default Title,Default Title,기본 제목
Footer Help,1,pages.marketingIntel.helpPanel.footerHelp,Footer Help,Footer Help,하단 도움말
Full Manual,1,pages.marketingIntel.helpPanel.fullManual,Full Manual,Full Manual,전체 매뉴얼
Go Back,1,pages.marketingIntel.helpPanel.goBack,Go Back,Go Back,뒤로 가기
Go To Page,1,pages.marketingIntel.helpPanel.goToPage,Go To Page,Go To Page,페이지로 이동
"""{{q}}"" — {{n}}help articles",1,pages.marketingIntel.helpPanel.helpResultCount,"""{{q}}"" — {{n}}help articles","""{{q}}"" — {{n}}help articles","""{{q}}"" 관련 도움말 {{n}}건"
How To Use,1,pages.marketingIntel.helpPanel.howToUse,How To Use,How To Use,사용 방법
Need More Help,1,pages.marketingIntel.helpPanel.needMoreHelp,Need More Help,Need More Help,추가 도움이 필요하신가요?
No Help Found,1,pages.marketingIntel.helpPanel.noHelpFound,No Help Found,No Help Found,도움말을 찾을 수 없습니다
📊 Information this menu provides,1,pages.marketingIntel.helpPanel.provides,📊 Information this menu provides,📊 Information this menu provides,📊 이 메뉴에서 제공하는 정보
Search Results,1,pages.marketingIntel.helpPanel.searchResult,Search Results,Search Results,검색 결과
Try Other,1,pages.marketingIntel.helpPanel.tryOther,Try Other,Try Other,다른 검색어로 시도해보세요
Inf Funnel,1,pages.marketingIntel.infFunnel,Inf Funnel,Inf Funnel,인플루언서 퍼널
Add Influencer,1,pages.marketingIntel.influencer.addInfluencer,Add Influencer,Add Influencer,인플루언서 추가
Ai Loading,1,pages.marketingIntel.influencer.aiLoading,Ai Loading,Ai Loading,AI 분석 로딩 중...
Ai Run,1,pages.marketingIntel.influencer.aiRun,Ai Run,Ai Run,AI 실행
Ab Collect More,1,pages.marketingIntel.influencer.attrData.abCollectMore,Ab Collect More,Ab Collect More,데이터 추가 수집 필요
Ab Deploy,1,pages.marketingIntel.influencer.attrData.abDeploy,Ab Deploy,Ab Deploy,A/B 테스트 배포
Ab Keep Running,1,pages.marketingIntel.influencer.attrData.abKeepRunning,Ab Keep Running,Ab Keep Running,A/B 테스트 계속 진행
Ab Winner,1,pages.marketingIntel.influencer.attrData.abWinner,Ab Winner,Ab Winner,A/B 테스트 우승안
Alert Count Suffix,1,pages.marketingIntel.influencer.attrData.alertCountSuffix,Alert Count Suffix,Alert Count Suffix,건
All Compare,1,pages.marketingIntel.influencer.attrData.allCompare,All Compare,All Compare,전체 비교
Analysis Journey,1,pages.marketingIntel.influencer.attrData.analysisJourney,Analysis Journey,Analysis Journey,분석 여정
Anomaly Body Text,1,pages.marketingIntel.influencer.attrData.anomalyBodyText,Anomaly Body Text,Anomaly Body Text,이상 징후 상세 안내
Anomaly Head Desc,1,pages.marketingIntel.influencer.attrData.anomalyHeadDesc,Anomaly Head Desc,Anomaly Head Desc,이상 징후 안내
Anomaly Summary,1,pages.marketingIntel.influencer.attrData.anomalySummary,Anomaly Summary,Anomaly Summary,이상 징후 요약
A Score Sub,1,pages.marketingIntel.influencer.attrData.aScoreSub,A Score Sub,A Score Sub,어트리뷰션 스코어 안내
Ascore Title,1,pages.marketingIntel.influencer.attrData.ascoreTitle,Ascore Title,Ascore Title,어트리뷰션 스코어
Auto Refl,1,pages.marketingIntel.influencer.attrData.autoRefl,Auto Refl,Auto Refl,자동 반영
Badge Mmm,1,pages.marketingIntel.influencer.attrData.badgeMmm,Badge Mmm,Badge Mmm,MMM 배지
Badge Shapley,1,pages.marketingIntel.influencer.attrData.badgeShapley,Badge Shapley,Badge Shapley,Shapley 배지
Badge Uplift,1,pages.marketingIntel.influencer.attrData.badgeUplift,Badge Uplift,Badge Uplift,업리프트 배지
Beta Binomial,1,pages.marketingIntel.influencer.attrData.betaBinomial,Beta Binomial,Beta Binomial,베타-이항 분포
Budget Adjust,1,pages.marketingIntel.influencer.attrData.budgetAdjust,Budget Adjust,Budget Adjust,예산 조정
Channel Contrib,1,pages.marketingIntel.influencer.attrData.channelContrib,Channel Contrib,Channel Contrib,채널 기여도
Channel Synergy,1,pages.marketingIntel.influencer.attrData.channelSynergy,Channel Synergy,Channel Synergy,채널 시너지
Cohort Title,1,pages.marketingIntel.influencer.attrData.cohortTitle,Cohort Title,Cohort Title,코호트 분석
Compare Desc Text,1,pages.marketingIntel.influencer.attrData.compareDescText,Compare Desc Text,Compare Desc Text,비교 안내
Curr Val,1,pages.marketingIntel.influencer.attrData.currVal,Curr Val,Curr Val,현재 값
Data Included,1,pages.marketingIntel.influencer.attrData.dataIncluded,Data Included,Data Included,포함 데이터
Expected Blend Roas,1,pages.marketingIntel.influencer.attrData.expectedBlendRoas,Expected Blend Roas,Expected Blend Roas,예상 Blended ROAS
Explain Ab,1,pages.marketingIntel.influencer.attrData.explainAb,Explain Ab,Explain Ab,A/B 테스트 설명
Explain Markov,1,pages.marketingIntel.influencer.attrData.explainMarkov,Explain Markov,Explain Markov,마르코프 모델 설명
Explain Mmm,1,pages.marketingIntel.influencer.attrData.explainMmm,Explain Mmm,Explain Mmm,MMM 분석 설명
Explain Shapley,1,pages.marketingIntel.influencer.attrData.explainShapley,Explain Shapley,Explain Shapley,Shapley 분석 설명
Filter Issue,1,pages.marketingIntel.influencer.attrData.filterIssue,Filter Issue,Filter Issue,이슈 필터
Filter Ok,1,pages.marketingIntel.influencer.attrData.filterOk,Filter Ok,Filter Ok,정상 필터
First Touch,1,pages.marketingIntel.influencer.attrData.firstTouch,First Touch,First Touch,첫 터치
Bayesian A/B,1,pages.marketingIntel.influencer.attrData.guideAbName,Bayesian A/B,Bayesian A/B,베이지안 A/B
Markov+Uplift,1,pages.marketingIntel.influencer.attrData.guideMarkovName,Markov+Uplift,Markov+Uplift,마르코프+업리프트
Bayesian MMM,1,pages.marketingIntel.influencer.attrData.guideMmmName,Bayesian MMM,Bayesian MMM,베이지안 MMM
Health Score,1,pages.marketingIntel.influencer.attrData.health,Health Score,Health Score,헬스 스코어
Hub Run,1,pages.marketingIntel.influencer.attrData.hubRun,Hub Run,Hub Run,허브 실행
Last Touch,1,pages.marketingIntel.influencer.attrData.lastTouch,Last Touch,Last Touch,마지막 터치
Ltvcac Title,1,pages.marketingIntel.influencer.attrData.ltvcacTitle,Ltvcac Title,Ltvcac Title,LTV/CAC 분석
Markov In Progress,1,pages.marketingIntel.influencer.attrData.markovInProgress,Markov In Progress,Markov In Progress,마르코프 분석 진행 중...
