ko_value,count,path,ja_value,en_value,suggested_ko
HS Code,1,ruleEnginePage.wms.invcColHs,HS Code,HS Code,HS 코드
📦 Consignee,1,ruleEnginePage.wms.invcConsigneeTitle,📦 Consignee,📦 Consignee,📦 수하인
📋 Copy Number,1,ruleEnginePage.wms.invcCopyNo,📋 Copy Number,📋 Copy Number,📋 번호 복사
Auto-generate customs invoice,1,ruleEnginePage.wms.invcDesc,Auto-generate customs invoice,Auto-generate customs invoice,통관 인보이스 자동 생성
Rate (KRW/{c}),1,ruleEnginePage.wms.invcExRateLabel,Rate (KRW/{c}),Rate (KRW/{c}),환율 (KRW/{c})
📋 Line Items,1,ruleEnginePage.wms.invcItemsTitle,📋 Line Items,📋 Line Items,📋 품목 내역
Invoice No,1,ruleEnginePage.wms.invcNoLabel,Invoice No,Invoice No,인보이스 번호
Safety Stock,1,ruleEnginePage.wms.invColSafe,Safety Stock,Safety Stock,안전 재고
🖨️ Print Invoice,1,ruleEnginePage.wms.invcPrintBtn,🖨️ Print Invoice,🖨️ Print Invoice,🖨️ 인보이스 인쇄
Customs notes,1,ruleEnginePage.wms.invcRemarkPh,Customs notes,Customs notes,통관 비고
🏢 Shipper,1,ruleEnginePage.wms.invcShipperTitle,🏢 Shipper,🏢 Shipper,🏢 송하인
🧾 Commercial Invoice,1,ruleEnginePage.wms.invcTitle,🧾 Commercial Invoice,🧾 Commercial Invoice,🧾 상업 송장
📦 Warehouse Stock by SKU,1,ruleEnginePage.wms.invTableTitle,📦 Warehouse Stock by SKU,📦 Warehouse Stock by SKU,📦 SKU별 창고 재고
Total Stock (pcs) · Live,1,ruleEnginePage.wms.invTotalStock,Total Stock (pcs) · Live,Total Stock (pcs) · Live,총 재고 (개) · 실시간
Ref No,1,ruleEnginePage.wms.ioColRef,Ref No,Ref No,참조 번호
Stock Adjustment,1,ruleEnginePage.wms.ioFilterAdj,Stock Adjustment,Stock Adjustment,재고 조정
Return Inbound,1,ruleEnginePage.wms.ioFilterRetInbound,Return Inbound,Return Inbound,반품 입고
Return Outbound,1,ruleEnginePage.wms.ioFilterRetOutbound,Return Outbound,Return Outbound,반품 출고
Reason/Memo,1,ruleEnginePage.wms.ioMemoLabel,Reason/Memo,Reason/Memo,사유·메모
Qty *,1,ruleEnginePage.wms.ioQtyLabel,Qty *,Qty *,수량 *
Order No or PO No,1,ruleEnginePage.wms.ioRefPh,Order No or PO No,Order No or PO No,주문 번호 또는 발주 번호
