ko_value,count,sample_path,sample_ja_value,sample_en_value,suggested_ko
Data From,1,pages.marketingIntel.helpPanel.dataFrom,Data From,Data From,
Default Step1,1,pages.marketingIntel.helpPanel.defaultStep1,Default Step1,Default Step1,
Default Step2,1,pages.marketingIntel.helpPanel.defaultStep2,Default Step2,Default Step2,
Default Summary,1,pages.marketingIntel.helpPanel.defaultSummary,Default Summary,Default Summary,
Default Title,1,pages.marketingIntel.helpPanel.defaultTitle,Default Title,Default Title,
Footer Help,1,pages.marketingIntel.helpPanel.footerHelp,Footer Help,Footer Help,
Full Manual,1,pages.marketingIntel.helpPanel.fullManual,Full Manual,Full Manual,
Go Back,1,pages.marketingIntel.helpPanel.goBack,Go Back,Go Back,
Go To Page,1,pages.marketingIntel.helpPanel.goToPage,Go To Page,Go To Page,
"""{{q}}"" — {{n}}help articles",1,pages.marketingIntel.helpPanel.helpResultCount,"""{{q}}"" — {{n}}help articles","""{{q}}"" — {{n}}help articles",
How To Use,1,pages.marketingIntel.helpPanel.howToUse,How To Use,How To Use,
Need More Help,1,pages.marketingIntel.helpPanel.needMoreHelp,Need More Help,Need More Help,
No Help Found,1,pages.marketingIntel.helpPanel.noHelpFound,No Help Found,No Help Found,
📊 Information this menu provides,1,pages.marketingIntel.helpPanel.provides,📊 Information this menu provides,📊 Information this menu provides,
Search Results,1,pages.marketingIntel.helpPanel.searchResult,Search Results,Search Results,
Try Other,1,pages.marketingIntel.helpPanel.tryOther,Try Other,Try Other,
Inf Funnel,1,pages.marketingIntel.infFunnel,Inf Funnel,Inf Funnel,
Add Influencer,1,pages.marketingIntel.influencer.addInfluencer,Add Influencer,Add Influencer,
Ai Loading,1,pages.marketingIntel.influencer.aiLoading,Ai Loading,Ai Loading,
Ai Run,1,pages.marketingIntel.influencer.aiRun,Ai Run,Ai Run,
Ab Collect More,1,pages.marketingIntel.influencer.attrData.abCollectMore,Ab Collect More,Ab Collect More,
Ab Deploy,1,pages.marketingIntel.influencer.attrData.abDeploy,Ab Deploy,Ab Deploy,
Ab Keep Running,1,pages.marketingIntel.influencer.attrData.abKeepRunning,Ab Keep Running,Ab Keep Running,
Ab Winner,1,pages.marketingIntel.influencer.attrData.abWinner,Ab Winner,Ab Winner,
Alert Count Suffix,1,pages.marketingIntel.influencer.attrData.alertCountSuffix,Alert Count Suffix,Alert Count Suffix,
All Compare,1,pages.marketingIntel.influencer.attrData.allCompare,All Compare,All Compare,
Analysis Journey,1,pages.marketingIntel.influencer.attrData.analysisJourney,Analysis Journey,Analysis Journey,
Anomaly Body Text,1,pages.marketingIntel.influencer.attrData.anomalyBodyText,Anomaly Body Text,Anomaly Body Text,
Anomaly Head Desc,1,pages.marketingIntel.influencer.attrData.anomalyHeadDesc,Anomaly Head Desc,Anomaly Head Desc,
Anomaly Summary,1,pages.marketingIntel.influencer.attrData.anomalySummary,Anomaly Summary,Anomaly Summary,
