ko_value,count,sample_path,sample_ja_value,sample_en_value,suggested_ko
Advanced Analytics & BI,1,pages.pricingDetail.pro_s9,Advanced Analytics & BI,Advanced Analytics & BI,
P&L by Channel·Product·Trend,1,pages.pricingDetail.pro_s9i2,P&L by Channel·Product·Trend,P&L by Channel·Product·Trend,
Anomaly Detection·Competitor AI Analysis,1,pages.pricingDetail.pro_s9i3,Anomaly Detection·Competitor AI Analysis,Anomaly Detection·Competitor AI Analysis,
Influencer Performance View,1,pages.pricingDetail.pro_s9i4,Influencer Performance View,Influencer Performance View,
Pro_tagline,1,pages.pricingDetail.pro_tagline,Pro_tagline,Pro_tagline,
Ad spend deduction,1,pages.reconciliation.adFeeCharged,Ad spend deduction,Ad Fee Deducted,
Ad Fee Rate,1,pages.reconciliation.adFeeRate,Ad Fee Rate,Ad Fee Rate,
Click a report for details,1,pages.reconciliation.clickReport,Click a report for details,Click a report for details,
Effective from:,1,pages.reconciliation.effectiveFrom,Effective from:,Effective from:,
Fee Rules Title,1,pages.reconciliation.feeRulesTitle,Fee Rules Title,Fee Rules Title,
Mismatch Tickets,1,pages.reconciliation.mismatchTickets,Mismatch Tickets,Mismatch Tickets,
Net Difference,1,pages.reconciliation.netDiffLabel,Net Difference,Net Difference,
P&L auto-updates on settlement changes,1,pages.reconciliation.pnlAutoUpdate,P&L auto-updates on settlement changes,P&L auto-updates on settlement changes,
🔴 Real-time P&L Operating Profit,1,pages.reconciliation.realtimePnl,🔴 Real-time P&L Operating Profit,🔴 Real-time P&L Operating Profit,
Recon Desc,1,pages.reconciliation.reconDesc,Recon Desc,Recon Desc,
Report Detail,1,pages.reconciliation.reportDetail,Report Detail,Report Detail,
Report ID,1,pages.reconciliation.reportId,Report ID,Report ID,
Report List,1,pages.reconciliation.reportList,Report List,Report List,
Rule History,1,pages.reconciliation.ruleHistory,Rule History,Rule History,
💾 Save Rules,1,pages.reconciliation.saveFeeRule,💾 Save Rules,💾 Save Rules,
Settlement Difference,1,pages.reconciliation.settleDiff,Settlement Difference,Settlement Difference,
Investigating,1,pages.reconciliation.status_investigating,Investigating,Investigating,
Status_open,1,pages.reconciliation.status_open,Status_open,Status_open,
⚙️ Fee Rules,1,pages.reconciliation.tabFeeRules,⚙️ Fee Rules,⚙️ Fee Rules,
Tab Reports,1,pages.reconciliation.tabReports,Tab Reports,Tab Reports,
🎫 Tickets,1,pages.reconciliation.tabTickets,🎫 Tickets,🎫 Tickets,
Tickets created,1,pages.reconciliation.ticketsCreated,Tickets created,Tickets created,
Tickets Title,1,pages.reconciliation.ticketsTitle,Tickets Title,Tickets Title,
Upload Hint,1,pages.reconciliation.uploadHint,Upload Hint,Upload Hint,
Uploading...,1,pages.reconciliation.uploading,Uploading...,Uploading...,
Upload Success,1,pages.reconciliation.uploadSuccess,Upload Success,Upload Success,
🌊 View in P&L Dashboard →,1,pages.reconciliation.viewPnl,🌊 View in P&L Dashboard →,🌊 View in P&L Dashboard →,
Add Recipient,1,pages.report.addRecipient,Add Recipient,Add Recipient,
Add Widget,1,pages.report.addWidget,Add Widget,Add Widget,
Excel Export,1,pages.report.exportExcel,Excel Export,Excel Export,
PDF Export,1,pages.report.exportPdf,PDF Export,PDF Export,
Next Run,1,pages.report.nextRun,Next Run,Next Run,
Report Name Ph,1,pages.report.reportNamePh,Report Name Ph,Report Name Ph,
Run Report,1,pages.report.runReport,Run Report,Run Report,
Schedule Report,1,pages.report.scheduleReport,Schedule Report,Schedule Report,
Select Dimensions,1,pages.report.selectDimensions,Select Dimensions,Select Dimensions,
Select Metrics,1,pages.report.selectMetrics,Select Metrics,Select Metrics,
Scheduled Reports,1,pages.report.tabScheduled,Scheduled Reports,Scheduled Reports,
Pay Remaining,1,payRemaining,,Pay Remaining,
 P D F,1,PDF,, P D F,
Per Contract,1,perContract,,Per contract,
Product Page,1,productPage,,Product Page,
⬇ PDF,1,reportBuilder.downloadPdf,⬇ PDF,⬇ PDF,
Q1 2026,1,reportBuilder.periodQ1,,Q1 2026,
var(--text-1),1,"rgba(99,140,255,0.12)",,,
⏸ Not Scanned,1,ruleEnginePage.auto.11t2zj,⏸ Not Scanned,⏸ Not Scanned,
📲 Social Media & Content,1,ruleEnginePage.auto.4wtmsx,📲 Social Media & Content,📲 Social Media & Content,
Key Detected,1,ruleEnginePage.auto.cc2qm0,Key Detected,Key Detected,
Event empty,1,ruleEnginePage.auto.event_empty,Event empty,Event empty,
Not Scanned,1,ruleEnginePage.auto.gzkv91,Not Scanned,Not Scanned,
Json err,1,ruleEnginePage.auto.json_err,Json err,Json err,
Security Guide,1,ruleEnginePage.auto.n2m798,Security Guide,Security Guide,
 Channels Analyzed. Please confirm the scanned keys.,1,ruleEnginePage.auto.new900, Channels Analyzed. Please confirm the scanned keys., Channels Analyzed. Please confirm the scanned keys.,
API Key Application,1,ruleEnginePage.auto.new901,API Key Application,API Key Application,
No Key,1,ruleEnginePage.auto.new904,No Key,No Key,
Application Done,1,ruleEnginePage.auto.new905,Application Done,Application Done,
Not arr,1,ruleEnginePage.auto.not_arr,Not arr,Not arr,
🏢 Closed Mall / Welfare,1,ruleEnginePage.auto.w394fd,🏢 Closed Mall / Welfare,🏢 Closed Mall / Welfare,
On Track,1,ruleEnginePage.budget.onTrack,On Track,On Track,
Performance by Ad Type,1,ruleEnginePage.dash.adTypePerf,Performance by Ad Type,Performance by Ad Type,
🤖 AI Ad Analysis,1,ruleEnginePage.dash.aiAdAnal,🤖 AI Ad Analysis,🤖 AI Ad Analysis,
Amazon US,1,ruleEnginePage.dash.amazonName,Amazon US,Amazon US,
Avg CTR,1,ruleEnginePage.dash.avgCtr,Avg CTR,Avg CTR,
Buyer Age Group,1,ruleEnginePage.dash.buyerAge,Buyer Age Group,Buyer Age Group,
Buyer Gender,1,ruleEnginePage.dash.buyerGender,Buyer Gender,Buyer Gender,
Cart Adds,1,ruleEnginePage.dash.cartAdds,Cart Adds,Cart Adds,
Category · Payment Method,1,ruleEnginePage.dash.catPay,Category · Payment Method,Category · Payment Method,
📊 Channel Perf.,1,ruleEnginePage.dash.channelPerf,📊 Channel Perf.,📊 Channel Perf.,
Click on a channel card or performance table below,1,ruleEnginePage.dash.chIntelDesc1,Click on a channel card or performance table below,Click on a channel card or performance table below,
to select a specific channel,1,ruleEnginePage.dash.chIntelDesc2,to select a specific channel,to select a specific channel,
view detailed channel analysis:,1,ruleEnginePage.dash.chIntelDesc4,view detailed channel analysis:,view detailed channel analysis:,
Channel Intelligence Report,1,ruleEnginePage.dash.chIntelReport,Channel Intelligence Report,Channel Intelligence Report,
Channel Performance Summary,1,ruleEnginePage.dash.chPerfSumm,Channel Performance Summary,Channel Performance Summary,
Click a channel card → 5-section analysis,1,ruleEnginePage.dash.clickChannelHint,Click a channel card → 5-section analysis,Click a channel card → 5-section analysis,
Click → 5-Section,1,ruleEnginePage.dash.clickForAnalysis,Click → 5-Section,Click → 5-Section,
Conv. Rate,1,ruleEnginePage.dash.convRate,Conv. Rate,Conv. Rate,
Coupon Applied,1,ruleEnginePage.dash.couponApplied,Coupon Applied,Coupon Applied,
Coupon Issued,1,ruleEnginePage.dash.couponIssued,Coupon Issued,Coupon Issued,
Cross Module Summary,1,ruleEnginePage.dash.crossModuleSummary,Cross Module Summary,Cross Module Summary,
👩 Female,1,ruleEnginePage.dash.femaleBuyer,👩 Female,👩 Female,
Purchase Complete,1,ruleEnginePage.dash.flowPurchase,Purchase Complete,Purchase Complete,
Inventory Value,1,ruleEnginePage.dash.inventoryValue,Inventory Value,Inventory Value,
Real-time · Total Orders,1,ruleEnginePage.dash.liveTotalOrd,Real-time · Total Orders,Real-time · Total Orders,
