ko_value,count,sample_path,sample_ja_value,sample_en_value,suggested_ko
Settlement Chs,1,ruleEnginePage.dash.settlementChs,Settlement Chs,Settlement Chs,
Shopee SG,1,ruleEnginePage.dash.shopeeName,Shopee SG,Shopee SG,
Naver Store,1,ruleEnginePage.dash.smartstoreName,Naver Store,Naver Store,
Settlement Complete,1,ruleEnginePage.dash.syncSettled,Settlement Complete,Settlement Complete,
Threat Detected,1,ruleEnginePage.dash.threatDetected,Threat Detected,Threat Detected,
threats detected,1,ruleEnginePage.dash.threatsDetected,threats detected,threats detected,
Top Regions,1,ruleEnginePage.dash.topRegRev,Top Regions,Top Regions,
 times,1,ruleEnginePage.dash.unitTimes, times, times,
Ad Account,1,ruleEnginePage.marketing.adAccountFilter,Ad Account,Ad Account,
Sub Account 1,1,ruleEnginePage.marketing.adFilterSub,Sub Account 1,Sub Account 1,
Ad Meta Dynamic Chart Performance,1,ruleEnginePage.marketing.adMetaDynChart,Ad Meta Dynamic Chart Performance,Ad Meta Dynamic Chart Performance,
Performance during the selected active period.,1,ruleEnginePage.marketing.adTableSub,Performance during the selected active period.,Performance during the selected active period.,
Ad Performance Detail (Campaign/Ad Set),1,ruleEnginePage.marketing.adTableTitle,Ad Performance Detail (Campaign/Ad Set),Ad Performance Detail (Campaign/Ad Set),
Ai Reason Detail,1,ruleEnginePage.marketing.aiReasonDetail,Ai Reason Detail,Ai Reason Detail,
Approved By,1,ruleEnginePage.marketing.approvedBy,Approved By,Approved By,
Bg Period Monthly,1,ruleEnginePage.marketing.bgPeriodMonthly,Bg Period Monthly,Bg Period Monthly,
Bg Period Quarterly,1,ruleEnginePage.marketing.bgPeriodQuarterly,Bg Period Quarterly,Bg Period Quarterly,
Bg Period Yearly,1,ruleEnginePage.marketing.bgPeriodYearly,Bg Period Yearly,Bg Period Yearly,
Bg Planner,1,ruleEnginePage.marketing.bgPlannerDesc,Bg Planner,Bg Planner,
Google（YouTube）,1,ruleEnginePage.marketing.ch_google,Google（YouTube）,Google（YouTube）,
CPA Cost,1,ruleEnginePage.marketing.colCpa,CPA Cost,CPA Cost,
Col Item Name,1,ruleEnginePage.marketing.colItemName,Col Item Name,Col Item Name,
Actual Conversions,1,ruleEnginePage.marketing.colResultConv,Actual Conversions,Actual Conversions,
Default Team,1,ruleEnginePage.marketing.defaultTeam,Default Team,Default Team,
Explain Cat Insight,1,ruleEnginePage.marketing.explainCatInsight,Explain Cat Insight,Explain Cat Insight,
Explain Ch Why,1,ruleEnginePage.marketing.explainChWhy,Explain Ch Why,Explain Ch Why,
Explain Edit Note,1,ruleEnginePage.marketing.explainEditNote,Explain Edit Note,Explain Edit Note,
Explain Title,1,ruleEnginePage.marketing.explainTitle,Explain Title,Explain Title,
Mem Access Saved,1,ruleEnginePage.marketing.memAccessSaved,Mem Access Saved,Mem Access Saved,
Average CPC,1,ruleEnginePage.marketing.metricCpc,Average CPC,Average CPC,
Average CPM,1,ruleEnginePage.marketing.metricCpm,Average CPM,Average CPM,
Average CTR,1,ruleEnginePage.marketing.metricCtr,Average CTR,Average CTR,
Return on Ad Spend (ROAS),1,ruleEnginePage.marketing.metricRoas,Return on Ad Spend (ROAS),Return on Ad Spend (ROAS),
Daily Spend,1,ruleEnginePage.marketing.metricSpend,Daily Spend,Daily Spend,
Detailed Ad Media Performance,1,ruleEnginePage.marketing.mktHierTitle,Detailed Ad Media Performance,Detailed Ad Media Performance,
🔴 LIVE,1,ruleEnginePage.marketing.realModeLabel,🔴 LIVE,🔴 LIVE,
Status Approved,1,ruleEnginePage.marketing.statusApproved,Status Approved,Status Approved,
Status Paused,1,ruleEnginePage.marketing.statusPaused,Status Paused,Status Paused,
Status Pending,1,ruleEnginePage.marketing.statusPending,Status Pending,Status Pending,
Status Rejected,1,ruleEnginePage.marketing.statusRejected,Status Rejected,Status Rejected,
Ad Set Level,1,ruleEnginePage.marketing.tabAdset,Ad Set Level,Ad Set Level,
Root_page Title_ai Policy,1,ruleEnginePage.root_pageTitle_aiPolicy,Root_page Title_ai Policy,Root_page Title_ai Policy,
Root_page Title_approvals,1,ruleEnginePage.root_pageTitle_approvals,Root_page Title_approvals,Root_page Title_approvals,
Root_page Title_integration Hub,1,ruleEnginePage.root_pageTitle_integrationHub,Root_page Title_integration Hub,Root_page Title_integration Hub,
Root_page Title_marketing,1,ruleEnginePage.root_pageTitle_marketing,Root_page Title_marketing,Root_page Title_marketing,
Root_page Title_onboarding,1,ruleEnginePage.root_pageTitle_onboarding,Root_page Title_onboarding,Root_page Title_onboarding,
Root_page Title_writeback,1,ruleEnginePage.root_pageTitle_writeback,Root_page Title_writeback,Root_page Title_writeback,
Add a comment to the current view...,1,ruleEnginePage.super.aaAddCmt,Add a comment to the current view...,Add a comment to the current view...,
🔷 Data Warehouse,1,ruleEnginePage.super.conTabDw,🔷 Data Warehouse,🔷 Data Warehouse,
🟢 Connected,1,ruleEnginePage.super.ihConnected,🟢 Connected,🟢 Connected,
Connecting...,1,ruleEnginePage.super.ihConnecting,Connecting...,Connecting...,
📊 Widget Library,1,ruleEnginePage.super.rbLib,📊 Widget Library,📊 Widget Library,
🛠️ Custom Report Builder,1,ruleEnginePage.super.rbTitle,🛠️ Custom Report Builder,🛠️ Custom Report Builder,
Adjust Inventory,1,ruleEnginePage.wms.adjustInventory,Adjust Inventory,Adjust Inventory,
Stock adjustment will be reflected in In/Out tab.,1,ruleEnginePage.wms.auditAdjAlert,Stock adjustment will be reflected in In/Out tab.,Stock adjustment will be reflected in In/Out tab.,
All SKUs,1,ruleEnginePage.wms.auditAllSku,All SKUs,All SKUs,
🔧 Bulk Adjust,1,ruleEnginePage.wms.auditBulkAdj,🔧 Bulk Adjust,🔧 Bulk Adjust,
Book Stock,1,ruleEnginePage.wms.auditColBook,Book Stock,Book Stock,
Count Input,1,ruleEnginePage.wms.auditColInput,Count Input,Count Input,
✅ Completed,1,ruleEnginePage.wms.auditCompleted,✅ Completed,✅ Completed,
{n} SKUs uncounted. Complete?,1,ruleEnginePage.wms.auditConfirmMsg,{n} SKUs uncounted. Complete?,{n} SKUs uncounted. Complete?,
🔄 Counting,1,ruleEnginePage.wms.auditCounting,🔄 Counting,🔄 Counting,
Audit Date,1,ruleEnginePage.wms.auditDateLabel,Audit Date,Audit Date,
Discrepancy,1,ruleEnginePage.wms.auditDiffQty,Discrepancy,Discrepancy,
🖨️ Diff Report,1,ruleEnginePage.wms.auditDiffReport,🖨️ Diff Report,🖨️ Diff Report,
⚠️ Discrepancy Items,1,ruleEnginePage.wms.auditDiscTitle,⚠️ Discrepancy Items,⚠️ Discrepancy Items,
📝 Draft,1,ruleEnginePage.wms.auditDraft,📝 Draft,📝 Draft,
📈 Excess,1,ruleEnginePage.wms.auditExcess,📈 Excess,📈 Excess,
Movement History,1,ruleEnginePage.wms.auditLogBtn,Movement History,Movement History,
Delete History,1,ruleEnginePage.wms.auditLogClearBtn,Delete History,Delete History,
Delete all history? This cannot be undone.,1,ruleEnginePage.wms.auditLogClearConfirm,Delete all history? This cannot be undone.,Delete all history? This cannot be undone.,
Immutable log of all stock changes. Up to 500 records.,1,ruleEnginePage.wms.auditLogDesc,Immutable log of all stock changes. Up to 500 records.,Immutable log of all stock changes. Up to 500 records.,
No movement history recorded.,1,ruleEnginePage.wms.auditLogEmpty,No movement history recorded.,No movement history recorded.,
Stock Movement History (Audit Trail),1,ruleEnginePage.wms.auditLogTitle,Stock Movement History (Audit Trail),Stock Movement History (Audit Trail),
No Issues,1,ruleEnginePage.wms.auditNoDiff,No Issues,No Issues,
✅ Normal,1,ruleEnginePage.wms.auditNormal,✅ Normal,✅ Normal,
📉 Short,1,ruleEnginePage.wms.auditShort,📉 Short,📉 Short,
🔄 Start,1,ruleEnginePage.wms.auditStartBtn,🔄 Start,🔄 Start,
Total Discrepancy Qty,1,ruleEnginePage.wms.auditTotalDiff,Total Discrepancy Qty,Total Discrepancy Qty,
+ Add Bundle,1,ruleEnginePage.wms.bdlAddBtn,+ Add Bundle,+ Add Bundle,
+ Add,1,ruleEnginePage.wms.bdlAddComp,+ Add,+ Add,
Assemblable,1,ruleEnginePage.wms.bdlAssemble,Assemblable,Assemblable,
Components (BOM),1,ruleEnginePage.wms.bdlBomTitle,Components (BOM),Components (BOM),
Bundle Name,1,ruleEnginePage.wms.bdlNameLabel,Bundle Name,Bundle Name,
Bdl Name Ph,1,ruleEnginePage.wms.bdlNamePh,Bdl Name Ph,Bdl Name Ph,
New Bundle,1,ruleEnginePage.wms.bdlNewTitle,New Bundle,New Bundle,
Bundle Registration Complete:,1,ruleEnginePage.wms.bdlRegAlert,Bundle Registration Complete:,Bundle Registration Complete:,
📦 Ship 1 Set,1,ruleEnginePage.wms.bdlShip1,📦 Ship 1 Set,📦 Ship 1 Set,
📦 Ship 10 Sets,1,ruleEnginePage.wms.bdlShip10,📦 Ship 10 Sets,📦 Ship 10 Sets,
Bundle Shipment:,1,ruleEnginePage.wms.bdlShipAlert,Bundle Shipment:,Bundle Shipment:,
Bundle SKU,1,ruleEnginePage.wms.bdlSkuLabel,Bundle SKU,Bundle SKU,
+ Add Carrier,1,ruleEnginePage.wms.carrAddBtn,+ Add Carrier,+ Add Carrier,
Total Registered,1,ruleEnginePage.wms.carrAllReg,Total Registered,Total Registered,
API Connected,1,ruleEnginePage.wms.carrApiDone,API Connected,API Connected,
API Key,1,ruleEnginePage.wms.carrApiKeyLabel,API Key,API Key,
Enter API Key,1,ruleEnginePage.wms.carrApiKeyPh,Enter API Key,Enter API Key,
Enter API Key first.,1,ruleEnginePage.wms.carrApiKeyRequired,Enter API Key first.,Enter API Key first.,
✏️ Edit Carrier,1,ruleEnginePage.wms.carrEditTitle,✏️ Edit Carrier,✏️ Edit Carrier,
❌ Auth failed for {name},1,ruleEnginePage.wms.carrFailMsg,❌ Auth failed for {name},❌ Auth failed for {name},
❌ Failed,1,ruleEnginePage.wms.carrIntegFail,❌ Failed,❌ Failed,
