ko_value,count,path,ja_value,en_value,suggested_ko
Attr Ai,1,pages.marketingIntel.marketingIntel.banner.attrAiSub,Attr Ai,Attr Ai,어트리뷰션 AI
All Normal,1,pages.marketingIntel.marketingIntel.banner.kpiAllNormal,All Normal,All Normal,전체 정상
Rule Action,1,pages.marketingIntel.marketingIntel.banner.kpiRuleAction,Rule Action,Rule Action,룰 실행 액션
Rules Active,1,pages.marketingIntel.marketingIntel.banner.kpiRulesActive,Rules Active,Rules Active,활성 룰
Rules Fired,1,pages.marketingIntel.marketingIntel.banner.kpiRulesFired,Rules Fired,Rules Fired,실행된 룰
Pnl Ai Action,1,pages.marketingIntel.marketingIntel.banner.pnlAiAction,Pnl Ai Action,Pnl Ai Action,P&L AI 액션
Pnl Budget Action,1,pages.marketingIntel.marketingIntel.banner.pnlBudgetAction,Pnl Budget Action,Pnl Budget Action,P&L 예산 액션
Ch Name,1,pages.marketingIntel.marketingIntel.channelKpiPage.chName_,Ch Name,Ch Name,채널명
Status error,1,pages.marketingIntel.marketingIntel.systemMonitor.status_error,Status error,Status error,오류
Status ok,1,pages.marketingIntel.marketingIntel.systemMonitor.status_ok,Status ok,Status ok,정상
Status warning,1,pages.marketingIntel.marketingIntel.systemMonitor.status_warning,Status warning,Status warning,경고
Camp Name,1,pages.marketingIntel.marketingIntel.unified.campName,Camp Name,Camp Name,캠페인명
Mix Title,1,pages.marketingIntel.marketingIntel.unified.mixTitle,Mix Title,Mix Title,믹스 분석
Total Amt,1,pages.marketingIntel.marketingIntel.unified.totalAmt,Total Amt,Total Amt,총 금액
Mobile Cvr,1,pages.marketingIntel.mobileCvr,Mobile Cvr,Mobile Cvr,모바일 전환율
New Cust Pct,1,pages.marketingIntel.newCustPct,New Cust Pct,New Cust Pct,신규 고객 비율
Node Settings,1,pages.marketingIntel.nodeSettings,Node Settings,Node Settings,노드 설정
Order History,1,pages.marketingIntel.orderHistory,Order History,Order History,주문 이력
Order Needed,1,pages.marketingIntel.orderNeeded,Order Needed,Order Needed,발주 필요
Order Needed Sku,1,pages.marketingIntel.orderNeededSku,Order Needed Sku,Order Needed Sku,발주 필요 SKU
Payment Key,1,pages.marketingIntel.paymentKey,Payment Key,Payment Key,결제 키
Platform Dist,1,pages.marketingIntel.platformDist,Platform Dist,Platform Dist,플랫폼 분포
Limited Features,1,pages.marketingIntel.pricing.limitedFeat,Limited Features,Limited Features,일부 기능 제한
Product Cost,1,pages.marketingIntel.productCost,Product Cost,Product Cost,상품 원가
Purchase Cost,1,pages.marketingIntel.purchaseCost,Purchase Cost,Purchase Cost,매입 원가
Campaign Pnl Risk,1,pages.marketingIntel.rollup.campaignPnlRisk,Campaign Pnl Risk,Campaign Pnl Risk,캠페인 P&L 리스크
Commission Per Post,1,pages.marketingIntel.rollup.commissionPerPost,Commission Per Post,Commission Per Post,게시물당 수수료
Loss Est Warning,1,pages.marketingIntel.rollup.lossEstWarning,Loss Est Warning,Loss Est Warning,손실 예상 경고
Pnl Cogs,1,pages.marketingIntel.rollup.pnlCogs,Pnl Cogs,Pnl Cogs,매출원가(COGS)
Pnl Desc,1,pages.marketingIntel.rollup.pnlDesc,Pnl Desc,Pnl Desc,P&L 안내
Pnl Fx Loss,1,pages.marketingIntel.rollup.pnlFxLoss,Pnl Fx Loss,Pnl Fx Loss,환차손
Net Revenue,1,pages.marketingIntel.rollup.pnlNetRev,Net Revenue,Net Revenue,순매출
