ko_value,count,sample_path,sample_ja_value,sample_en_value,suggested_ko
Channel Performance Dashboard,2,pages.marketing.chPerfDash,Channel Performance Dashboard,Channel Performance Dashboard,
Key KPI Trends by Media,2,pages.marketing.chTrendKpi,Key KPI Trends by Media,Key KPI Trends by Media,
Goal Achievement,2,pages.marketing.colAchieve,Goal Achievement,Goal Achievement,
Channel Name,2,pages.marketing.colChan,Channel Name,Channel Name,
Order · Inventory · Settlement Unified Status,2,pages.marketing.commerceDesc,Order · Inventory · Settlement Unified Status,Order · Inventory · Settlement Unified Status,
Conversion Funnel Analysis,2,pages.marketing.convFunnel,Conversion Funnel Analysis,Conversion Funnel Analysis,
Gender Distribution,2,pages.marketing.genderDist,Gender Distribution,Gender Distribution,
Influencer · UGC Performance Analysis,2,pages.marketing.influencerDesc,Influencer · UGC Performance Analysis,Influencer · UGC Performance Analysis,
KR Channel,2,pages.marketing.KRChannel,KR Channel,KR Channel,
Live Activity,2,pages.marketing.liveActivity,Live Activity,Live Activity,
🔒 Demo,2,pages.marketing.LockBadge,🔒 Demo,🔒 Demo,
Ad · Campaign Integrated Analysis,2,pages.marketing.marketingDesc,Ad · Campaign Integrated Analysis,Ad · Campaign Integrated Analysis,
Module Shortcuts,2,pages.marketing.moduleShortcuts,Module Shortcuts,Module Shortcuts,
Naver Search Ads,2,pages.marketing.naverName,Naver Search Ads,Naver Search Ads,
All platform KPIs at a glance,2,pages.marketing.overviewDesc,All platform KPIs at a glance,All platform KPIs at a glance,
Price Check,2,pages.marketing.PriceCheck,Price Check,Price Check,
Price Opt,2,pages.marketing.PriceOpt,Price Opt,Price Opt,
Check Pricing Plans,2,pages.marketing.PricingView,Check Pricing Plans,Check Pricing Plans,
Global Sales,2,pages.marketing.sales,Global Sales,Global Sales,
Revenue Status by Country/Region,2,pages.marketing.salesDesc,Revenue Status by Country/Region,Revenue Status by Country/Region,
This feature only fetches real data after paid plan integration. Current screen uses sample data.,2,pages.marketing.SampleDesc2,This feature only fetches real data after paid plan integration. Current screen uses sample data.,This feature only fetches real data after paid plan integration. Current screen uses sample data.,
Virtual data is being displayed.,2,pages.marketing.SampleDesc3,Virtual data is being displayed.,Virtual data is being displayed.,
We suggest customized options and quick actions for your role.,2,pages.marketing.selectRoleDesc,We suggest customized options and quick actions for your role.,We suggest customized options and quick actions for your role.,
Please select your role,2,pages.marketing.selectRoleTitle,Please select your role,Please select your role,
API · Pipeline · Server Status,2,pages.marketing.systemDesc,API · Pipeline · Server Status,API · Pipeline · Server Status,
Top Visited Regions,2,pages.marketing.topRegion,Top Visited Regions,Top Visited Regions,
Your account has a free coupon.,2,pages.marketing.upgradeBarCoupon,Your account has a free coupon.,Your account has a free coupon.,
Connect your API now and fully utilize the platform with your data.,2,pages.marketing.upgradeBarDesc,Connect your API now and fully utilize the platform with your data.,Connect your API now and fully utilize the platform with your data.,
Membership Coupon Application Guide,2,pages.marketing.upgradeBarMembership,Membership Coupon Application Guide,Membership Coupon Application Guide,
🎉 Connect real business data and try all features free for 7 days!,2,pages.marketing.upgradeBarTitle,🎉 Connect real business data and try all features free for 7 days!,🎉 Connect real business data and try all features free for 7 days!,
vs Yesterday,2,pages.marketing.vsYesterday,vs Yesterday,vs Yesterday,
