namespace_l2,total,en(en-cluster),ja,zh,zh-TW,es(en-cluster),fr(en-cluster),de,pt(pt-cluster),ru(pt-cluster),ar(pt-cluster),hi(pt-cluster),id,th,vi
crm.contentCal,38161,3697,0,0,2921,3697,3697,2921,2921,2921,2921,2921,2921,2921,3702
pages.marketingIntel,22513,657,661,3213,3328,657,657,3290,649,649,649,649,3352,3350,752
dash.operations,4867,405,0,0,404,406,406,418,404,404,404,404,404,404,404
crm.email,4494,346,342,0,346,346,346,346,346,346,346,346,346,346,346
ruleEnginePage.operations,3187,0,87,0,0,0,0,0,0,0,0,0,1550,1550,0
crm.aiHub,1941,87,897,0,87,87,87,87,87,87,87,87,87,87,87
pages.perms,887,63,64,64,64,63,63,63,63,63,63,63,64,64,63
pages.menu,887,63,64,64,64,63,63,63,63,63,63,63,64,64,63
operations.marketing,667,0,0,0,0,0,0,0,0,0,0,0,0,0,667
ruleEnginePage.dataProduct,516,0,0,0,172,0,0,0,0,0,0,0,172,172,0
ruleEnginePage.priceOpt,504,0,0,0,168,0,0,0,0,0,0,0,168,168,0
pages.onboarding,407,29,29,29,29,29,29,29,29,29,29,29,29,30,29
pages.dashboard,338,28,1,1,28,28,28,28,28,28,28,28,28,28,28
operations.auto,319,0,0,0,0,0,0,0,0,0,0,0,0,0,319
ruleEnginePage.kakao,315,0,0,0,105,0,0,0,0,0,0,0,105,105,0
cmpVal.aiPredict,299,23,0,23,23,23,23,23,23,23,23,23,23,23,23
pages.writeback,294,21,21,21,21,21,21,21,21,21,21,21,21,21,21
ruleEnginePage.returnsPortal,285,0,0,0,95,0,0,0,0,0,0,0,95,95,0
ruleEnginePage.orderHub,246,0,0,0,0,0,0,0,0,0,0,0,246,0,0
ruleEnginePage.wms,195,0,39,39,39,0,0,0,0,0,0,0,39,39,0
ruleEnginePage.email,192,0,0,0,64,0,0,0,0,0,0,0,64,64,0
ruleEnginePage.aiInsights,186,0,0,0,62,0,0,0,0,0,0,0,62,62,0
pages.graphScore,168,12,12,12,12,12,12,12,12,12,12,12,12,12,12
operations.super,167,0,0,0,0,0,0,0,0,0,0,0,0,0,167
ruleEnginePage.marketing,149,0,149,0,0,0,0,0,0,0,0,0,0,0,0
marketing.marketing,142,0,17,91,0,0,0,0,0,0,0,0,17,17,0
cmpVal.adPerf,132,11,0,0,11,11,11,11,11,11,11,11,11,11,11
ruleEnginePage.supplyChain,120,0,24,24,24,0,0,0,0,0,0,0,24,24,0
operations.gNav,110,0,0,0,0,0,0,0,0,0,0,0,0,0,110
pages._marketing_1,84,6,6,6,6,6,6,6,6,6,6,6,6,6,6
operations.gAiRec,75,0,0,0,0,0,0,0,0,0,0,0,0,0,75
pages.marketing,70,5,5,5,5,5,5,5,5,5,5,5,5,5,5
operations.gBudget,66,0,0,0,0,0,0,0,0,0,0,0,0,0,66
operations.acctPerf,62,0,0,0,9,0,0,0,0,0,0,0,9,9,35
ruleEnginePage.super,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0
pages.priceOpt,42,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ruleEnginePage.gCat,42,0,0,0,0,0,0,0,0,0,0,0,21,21,0
operations.accountPerf,35,0,0,0,0,0,0,0,0,0,0,0,0,0,35
pages.mobile,34,3,3,3,3,3,3,3,1,1,1,1,3,3,3
help.faq,32,0,0,0,8,0,0,0,0,0,0,0,8,8,8
admin.menuCategories,32,0,0,0,8,0,0,0,0,0,0,0,8,8,8
pages.commerce,28,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ruleEnginePage.dash,25,0,5,5,5,0,0,0,0,0,0,0,5,5,0
help.tabs,20,0,0,0,5,0,0,0,0,0,0,0,5,5,5
operations.apiKeys,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20
ruleEnginePage.accountPerf,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0
ruleEnginePage.acctPerf,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0
ruleEnginePage.gNav,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0
admin.planLabels,16,0,0,0,4,0,0,0,0,0,0,0,4,4,4
pages.amazonRisk,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
