ko_value,count,path,ja_value,en_value,suggested_ko
Cat_sports_desc,2,pages.marketingIntel.creativeStudio.cat_sports_desc,Cat_sports_desc,Cat_sports_desc,스포츠 카테고리 설명
Category Optimized,2,pages.marketingIntel.creativeStudio.categoryOptimized,Category Optimized,Category Optimized,카테고리 최적화
Channel Step,2,pages.marketingIntel.creativeStudio.channelStep,Channel Step,Channel Step,채널 단계
👆 CTA:,2,pages.marketingIntel.creativeStudio.ctaHint,👆 CTA:,👆 CTA:,👆 CTA:
Custom Body,2,pages.marketingIntel.creativeStudio.customBody,Custom Body,Custom Body,본문 직접 작성
Custom Copy Toggle,2,pages.marketingIntel.creativeStudio.customCopyToggle,Custom Copy Toggle,Custom Copy Toggle,직접 작성 사용
Custom Headline,2,pages.marketingIntel.creativeStudio.customHeadline,Custom Headline,Custom Headline,헤드라인 직접 작성
Headline Hint,2,pages.marketingIntel.creativeStudio.headlineHint,Headline Hint,Headline Hint,헤드라인 작성 가이드
Product Info,2,pages.marketingIntel.creativeStudio.productInfo,Product Info,Product Info,상품 정보
Selected Label,2,pages.marketingIntel.creativeStudio.selectedLabel,Selected Label,Selected Label,선택됨
Select First,2,pages.marketingIntel.creativeStudio.selectFirst,Select First,Select First,먼저 선택해주세요
Select First Desc,2,pages.marketingIntel.creativeStudio.selectFirstDesc,Select First Desc,Select First Desc,먼저 항목을 선택해주세요
Select Step,2,pages.marketingIntel.creativeStudio.selectStep,Select Step,Select Step,선택 단계
Select Step Hint,2,pages.marketingIntel.creativeStudio.selectStepHint,Select Step Hint,Select Step Hint,단계별 선택 가이드
Export Report,2,pages.marketingIntel.exportReport,Export Report,Export Report,리포트 내보내기
Pnl High Margin,2,pages.marketingIntel.marketingIntel.banner.pnlHighMargin,Pnl High Margin,Pnl High Margin,고마진 P&L
Pnl Low Margin,2,pages.marketingIntel.marketingIntel.banner.pnlLowMargin,Pnl Low Margin,Pnl Low Margin,저마진 P&L
Click to change menu/feature access by role (✅ Allow · 👁 Read-only · 🔒 Locked),2,pages.marketingIntel.marketingIntel.menuAccess.desc,Click to change menu/feature access by role (✅ Allow · 👁 Read-only · 🔒 Locked),Click to change menu/feature access by role (✅ Allow · 👁 Read-only · 🔒 Locked),클릭하여 역할별 메뉴/기능 접근 권한을 변경하세요 (✅ 허용 · 👁 읽기 전용 · 🔒 잠금)
New Feature,2,pages.marketingIntel.marketingIntel.menuAccess.newFeature,New Feature,New Feature,신규 기능
Perm Read,2,pages.marketingIntel.marketingIntel.menuAccess.permRead,Perm Read,Perm Read,읽기 전용
Recommend Title,2,pages.marketingIntel.marketingIntel.menuAccess.recommendTitle,Recommend Title,Recommend Title,추천 항목
Add Fav,2,pages.marketingIntel.marketingIntel.systemMonitor.addFav,Add Fav,Add Fav,즐겨찾기 추가
Add Favorite,2,pages.marketingIntel.marketingIntel.systemMonitor.addFavorite,Add Favorite,Add Favorite,즐겨찾기 추가
No Favorites,2,pages.marketingIntel.marketingIntel.systemMonitor.noFavorites,No Favorites,No Favorites,즐겨찾기 항목이 없습니다
No Recents,2,pages.marketingIntel.marketingIntel.systemMonitor.noRecents,No Recents,No Recents,최근 항목이 없습니다
Quick Access,2,pages.marketingIntel.marketingIntel.systemMonitor.quickAccess,Quick Access,Quick Access,빠른 접근
Remove Fav,2,pages.marketingIntel.marketingIntel.systemMonitor.removeFav,Remove Fav,Remove Fav,즐겨찾기 해제
Remove Favorite,2,pages.marketingIntel.marketingIntel.systemMonitor.removeFavorite,Remove Favorite,Remove Favorite,즐겨찾기 해제
Trend Detection,2,pages.marketingIntel.marketingIntel.trendDetection,Trend Detection,Trend Detection,트렌드 감지
No anomalies,2,pages.marketingIntel.noAnomaly,No anomalies,No anomalies,이상 징후 없음
Product Perf,2,pages.marketingIntel.productPerf,Product Perf,Product Perf,상품 성과
Tab Audience,2,pages.marketingIntel.tabAudience,Tab Audience,Tab Audience,오디언스
"{ ""sku"": ""..."", ""title"": ""..."", ""price"": 0 }",2,pages.marketingIntel.writeback.payloadPlaceholder,"{ ""sku"": ""..."", ""title"": ""..."", ""price"": 0 }","{ ""sku"": ""..."", ""title"": ""..."", ""price"": 0 }","{ ""sku"": ""..."", ""title"": ""..."", ""price"": 0 }"
Ai Prediction,2,pages.menu.aiPrediction,Ai Prediction,Ai Prediction,AI 예측
No Pending,2,pages.menu.approvals.noPending,No Pending,No Pending,대기 중인 요청이 없습니다
Request Date,2,pages.menu.approvals.requestedAt,Request Date,Request Date,요청일
Tab Approved,2,pages.menu.approvals.tabApproved,Tab Approved,Tab Approved,승인 완료
Tab Pending,2,pages.menu.approvals.tabPending,Tab Pending,Tab Pending,승인 대기
Commerce Search,2,pages.menu.commerceSearch,Commerce Search,Commerce Search,커머스 검색
Customer Crm,2,pages.menu.customerCrm,Customer Crm,Customer Crm,고객 CRM
Line Channel,2,pages.menu.lineChannel,Line Channel,Line Channel,LINE 채널
SMS/LMS Marketing,2,pages.menu.smsMarketing,SMS/LMS Marketing,SMS/LMS Marketing,SMS/LMS 마케팅
Create Policy,2,pages.menu.writeback.createPolicy,Create Policy,Create Policy,정책 생성
Run Now,2,pages.menu.writeback.runNow,Run Now,Run Now,지금 실행
Tab Log,2,pages.menu.writeback.tabLog,Tab Log,Tab Log,로그
Issue Date,2,pages.mobile.adminCoupon.colIssueDate,Issue Date,Issue Date,발급일
All Accounts,2,pages.perms.allAccounts,All Accounts,All Accounts,전체 계정
Writeback Setup·Logs,2,pages.pricingDetail.ent_s1i1,Writeback Setup·Logs,Writeback Setup·Logs,Writeback 설정·로그
Keyword Analysis,2,pages.pricingDetail.growth_s2i3,Keyword Analysis,Keyword Analysis,키워드 분석
⚖️ Run Reconciliation,2,pages.reconciliation.reconTitle,⚖️ Run Reconciliation,⚖️ Run Reconciliation,⚖️ 정산 대조 실행
Report Name,2,pages.report.colReportName,Report Name,Report Name,리포트명
Active Channels,2,ruleEnginePage.dash.activeCh,Active Channels,Active Channels,활성 채널
Security Monitor,2,ruleEnginePage.dash.securityMonitor,Security Monitor,Security Monitor,보안 모니터링
Total Stock,2,ruleEnginePage.dash.totalStock,Total Stock,Total Stock,총 재고
Google Ads,2,ruleEnginePage.super.ihGoogle,Google Ads,Google Ads,Google Ads
Meta Ads,2,ruleEnginePage.super.ihMeta,Meta Ads,Meta Ads,Meta Ads
✅ Complete,2,ruleEnginePage.wms.auditDoneBtn,✅ Complete,✅ Complete,✅ 완료
Not Counted,2,ruleEnginePage.wms.auditNotCounted,Not Counted,Not Counted,미실사
🖨️ Print,2,ruleEnginePage.wms.auditPrintBtn,🖨️ Print,🖨️ Print,🖨️ 인쇄
