ko_value,count,sample_path,sample_ja_value,sample_en_value,suggested_ko
Team Management (RBAC),1,pages.cmpRow.r26,Team Management (RBAC),Team Management (RBAC),
Account Count,1,pages.cmpRow.r27,Account Count,Account Count,
Support Type,1,pages.cmpRow.r28,Support Type,Support Type,
AI Forecast (Churn·LTV·Purchase Prob.),1,pages.cmpRow.r3,AI Forecast (Churn·LTV·Purchase Prob.),AI Forecast (Churn·LTV·Purchase Prob.),
Customer Journey Builder,1,pages.cmpRow.r4,Customer Journey Builder,Customer Journey Builder,
AI Segment,1,pages.cmpRow.r5,AI Segment,AI Segment,
Ad & Channel Analytics (ROAS·KPI),1,pages.cmpRow.r6,Ad & Channel Analytics (ROAS·KPI),Ad & Channel Analytics (ROAS·KPI),
Attribution Analysis (Touch Model),1,pages.cmpRow.r7,Attribution Analysis (Touch Model),Attribution Analysis (Touch Model),
Competitor AI Analysis,1,pages.cmpRow.r8,Competitor AI Analysis,Competitor AI Analysis,
Customer CRM (Email/Kakao/SMS),1,pages.cmpRow.r9,Customer CRM (Email/Kakao/SMS),Customer CRM (Email/Kakao/SMS),
Activity History,1,pages.cmpVal.activity_history,Activity History,Activity History,
Advanced Custom,1,pages.cmpVal.advanced_custom,Advanced Custom,Advanced Custom,
Anomaly Detection,1,pages.cmpVal.anomaly_detect,Anomaly Detection,Anomaly Detection,
Auto·Scheduled·Share,1,pages.cmpVal.auto_scheduled_share,Auto·Scheduled·Share,Auto·Scheduled·Share,
Basic Auto-classify,1,pages.cmpVal.basic_auto,Basic Auto-classify,Basic Auto-classify,
Campaign·Settlement,1,pages.cmpVal.campaign_settle,Campaign·Settlement,Campaign·Settlement,
Chat Support,1,pages.cmpVal.chat_support,Chat Support,Chat Support,
Cohort·P&L All,1,pages.cmpVal.cohort_pl,Cohort·P&L All,Cohort·P&L All,
Competitor Compare,1,pages.cmpVal.competitor_compare,Competitor Compare,Competitor Compare,
Conv. Path All,1,pages.cmpVal.conv_path_all,Conv. Path All,Conv. Path All,
Custom·Excel,1,pages.cmpVal.custom_excel,Custom·Excel,Custom·Excel,
Dedicated Manager,1,pages.cmpVal.dedicated_manager,Dedicated Manager,Dedicated Manager,
Dedicated + SLA,1,pages.cmpVal.dedicated_sla,Dedicated + SLA,Dedicated + SLA,
Domestic+Global,1,pages.cmpVal.dom_global,Domestic+Global,Domestic+Global,
Domestic Ad Integration,1,pages.cmpVal.domestic_ads,Domestic Ad Integration,Domestic Ad Integration,
Domestic Core,1,pages.cmpVal.domestic_core,Domestic Core,Domestic Core,
Install & Analysis,1,pages.cmpVal.install_analysis,Install & Analysis,Install & Analysis,
Instant Rollback,1,pages.cmpVal.instant_rollback,Instant Rollback,Instant Rollback,
List·Invite,1,pages.cmpVal.list_invite,List·Invite,List·Invite,
Location & Barcode,1,pages.cmpVal.location_barcode,Location & Barcode,Location & Barcode,
Market Share,1,pages.cmpVal.market_share,Market Share,Market Share,
Notification Basic,1,pages.cmpVal.notification_basic,Notification Basic,Notification Basic,
Notification Send,1,pages.cmpVal.notification_send,Notification Send,Notification Send,
Own History,1,pages.cmpVal.own_history,Own History,Own History,
Owner·Streaming,1,pages.cmpVal.owner_streaming,Owner·Streaming,Owner·Streaming,
Partner API Bidirectional,1,pages.cmpVal.partner_api,Partner API Bidirectional,Partner API Bidirectional,
Performance View,1,pages.cmpVal.perf_view,Performance View,Performance View,
Policy·Review·Listing,1,pages.cmpVal.policy_review,Policy·Review·Listing,Policy·Review·Listing,
RBAC Role Settings,1,pages.cmpVal.rbac_role,RBAC Role Settings,RBAC Role Settings,
Real-time Rate,1,pages.cmpVal.realtime_rate,Real-time Rate,Real-time Rate,
Rule Engine·Writeback,1,pages.cmpVal.rule_writeback,Rule Engine·Writeback,Rule Engine·Writeback,
Schema·Quality View,1,pages.cmpVal.schema_quality_view,Schema·Quality View,Schema·Quality View,
Server-side,1,pages.cmpVal.server_side,Server-side,Server-side,
Trend Forecast,1,pages.cmpVal.trend_forecast,Trend Forecast,Trend Forecast,
Account Performance,1,pages.marketing.accountPerformance,Account Performance,Account Performance,
AI Instant Recommendations,1,pages.marketing.aiRecommend,AI Instant Recommendations,AI Instant Recommendations,
Product Catalog,1,pages.marketing.catalog,Product Catalog,Product Catalog,
Returns Automation Portal,1,pages.marketing.returnsPortal,Returns Automation Portal,Returns Automation Portal,
Supply Chain Visibility,1,pages.marketing.supplyChain,Supply Chain Visibility,Supply Chain Visibility,
View Pricing Plans,1,pages.marketing.upgradalBtn,View Pricing Plans,View Pricing Plans,
