ko_value,count,sample_path,sample_ja_value,sample_en_value,suggested_ko
Cat_sports_desc,2,pages.marketingIntel.creativeStudio.cat_sports_desc,Cat_sports_desc,Cat_sports_desc,
Category Optimized,2,pages.marketingIntel.creativeStudio.categoryOptimized,Category Optimized,Category Optimized,
Channel Step,2,pages.marketingIntel.creativeStudio.channelStep,Channel Step,Channel Step,
👆 CTA:,2,pages.marketingIntel.creativeStudio.ctaHint,👆 CTA:,👆 CTA:,
Custom Body,2,pages.marketingIntel.creativeStudio.customBody,Custom Body,Custom Body,
Custom Copy Toggle,2,pages.marketingIntel.creativeStudio.customCopyToggle,Custom Copy Toggle,Custom Copy Toggle,
Custom Headline,2,pages.marketingIntel.creativeStudio.customHeadline,Custom Headline,Custom Headline,
Headline Hint,2,pages.marketingIntel.creativeStudio.headlineHint,Headline Hint,Headline Hint,
Product Info,2,pages.marketingIntel.creativeStudio.productInfo,Product Info,Product Info,
Selected Label,2,pages.marketingIntel.creativeStudio.selectedLabel,Selected Label,Selected Label,
Select First,2,pages.marketingIntel.creativeStudio.selectFirst,Select First,Select First,
Select First Desc,2,pages.marketingIntel.creativeStudio.selectFirstDesc,Select First Desc,Select First Desc,
Select Step,2,pages.marketingIntel.creativeStudio.selectStep,Select Step,Select Step,
Select Step Hint,2,pages.marketingIntel.creativeStudio.selectStepHint,Select Step Hint,Select Step Hint,
Export Report,2,pages.marketingIntel.exportReport,Export Report,Export Report,
Pnl High Margin,2,pages.marketingIntel.marketingIntel.banner.pnlHighMargin,Pnl High Margin,Pnl High Margin,
Pnl Low Margin,2,pages.marketingIntel.marketingIntel.banner.pnlLowMargin,Pnl Low Margin,Pnl Low Margin,
Click to change menu/feature access by role (✅ Allow · 👁 Read-only · 🔒 Locked),2,pages.marketingIntel.marketingIntel.menuAccess.desc,Click to change menu/feature access by role (✅ Allow · 👁 Read-only · 🔒 Locked),Click to change menu/feature access by role (✅ Allow · 👁 Read-only · 🔒 Locked),
New Feature,2,pages.marketingIntel.marketingIntel.menuAccess.newFeature,New Feature,New Feature,
Perm Read,2,pages.marketingIntel.marketingIntel.menuAccess.permRead,Perm Read,Perm Read,
Recommend Title,2,pages.marketingIntel.marketingIntel.menuAccess.recommendTitle,Recommend Title,Recommend Title,
Add Fav,2,pages.marketingIntel.marketingIntel.systemMonitor.addFav,Add Fav,Add Fav,
Add Favorite,2,pages.marketingIntel.marketingIntel.systemMonitor.addFavorite,Add Favorite,Add Favorite,
No Favorites,2,pages.marketingIntel.marketingIntel.systemMonitor.noFavorites,No Favorites,No Favorites,
No Recents,2,pages.marketingIntel.marketingIntel.systemMonitor.noRecents,No Recents,No Recents,
Quick Access,2,pages.marketingIntel.marketingIntel.systemMonitor.quickAccess,Quick Access,Quick Access,
Remove Fav,2,pages.marketingIntel.marketingIntel.systemMonitor.removeFav,Remove Fav,Remove Fav,
Remove Favorite,2,pages.marketingIntel.marketingIntel.systemMonitor.removeFavorite,Remove Favorite,Remove Favorite,
Trend Detection,2,pages.marketingIntel.marketingIntel.trendDetection,Trend Detection,Trend Detection,
No anomalies,2,pages.marketingIntel.noAnomaly,No anomalies,No Issues,
Product Perf,2,pages.marketingIntel.productPerf,Product Perf,Product Perf,
Tab Audience,2,pages.marketingIntel.tabAudience,Tab Audience,Tab Audience,
"{ ""sku"": ""..."", ""title"": ""..."", ""price"": 0 }",2,pages.marketingIntel.writeback.payloadPlaceholder,"{ ""sku"": ""..."", ""title"": ""..."", ""price"": 0 }","{ ""sku"": ""..."", ""title"": ""..."", ""price"": 0 }",
Ai Prediction,2,pages.menu.aiPrediction,Ai Prediction,Ai Prediction,
No Pending,2,pages.menu.approvals.noPending,No Pending,No Pending,
Request Date,2,pages.menu.approvals.requestedAt,Request Date,Requested At,
Tab Approved,2,pages.menu.approvals.tabApproved,Tab Approved,Tab Approved,
Tab Pending,2,pages.menu.approvals.tabPending,Tab Pending,Tab Pending,
Commerce Search,2,pages.menu.commerceSearch,Commerce Search,Commerce Search,
Customer Crm,2,pages.menu.customerCrm,Customer Crm,Customer Crm,
Line Channel,2,pages.menu.lineChannel,Line Channel,Line Channel,
SMS/LMS Marketing,2,pages.menu.smsMarketing,SMS/LMS Marketing,SMS/LMS Marketing,
Create Policy,2,pages.menu.writeback.createPolicy,Create Policy,Create Policy,
Run Now,2,pages.menu.writeback.runNow,Run Now,Run Now,
Tab Log,2,pages.menu.writeback.tabLog,Tab Log,Tab Log,
Issue Date,2,pages.mobile.adminCoupon.colIssueDate,Issue Date,Issue Date,
All Accounts,2,pages.perms.allAccounts,All Accounts,All Accounts,
Writeback Setup·Logs,2,pages.pricingDetail.ent_s1i1,Writeback Setup·Logs,Writeback Setup·Logs,
Keyword Analysis,2,pages.pricingDetail.growth_s2i3,Keyword Analysis,Keyword Analysis,
⚖️ Run Reconciliation,2,pages.reconciliation.reconTitle,⚖️ Run Reconciliation,⚖️ Run Reconciliation,
Report Name,2,pages.report.colReportName,Report Name,Report Name,
Active Channels,2,ruleEnginePage.dash.activeCh,Active Channels,Active Channels,
Security Monitor,2,ruleEnginePage.dash.securityMonitor,Security Monitor,Security Monitor,
Total Stock,2,ruleEnginePage.dash.totalStock,Total Stock,Total Stock,
Google Ads,2,ruleEnginePage.super.ihGoogle,Google Ads,Google Ads,
Meta Ads,2,ruleEnginePage.super.ihMeta,Meta Ads,Meta Ads,
✅ Complete,2,ruleEnginePage.wms.auditDoneBtn,✅ Complete,✅ Complete,
Not Counted,2,ruleEnginePage.wms.auditNotCounted,Not Counted,Not Counted,
🖨️ Print,2,ruleEnginePage.wms.auditPrintBtn,🖨️ Print,🖨️ Print,
Search SKU or product...,2,ruleEnginePage.wms.auditSearchPh,Search SKU or product...,Search SKU or product...,
💾 Register,2,ruleEnginePage.wms.bdlSaveBtn,💾 Register,💾 Register,
Code *,2,ruleEnginePage.wms.carrCodeLabel,Code *,Code *,
Company *,2,ruleEnginePage.wms.carrNameLabel,Company *,Company *,
Type *,2,ruleEnginePage.wms.carrTypeLabel,Type *,Type *,
Company/Name,2,ruleEnginePage.wms.invcCompanyName,Company/Name,Company/Name,
Tracking No,2,ruleEnginePage.wms.invcTrackLabel,Tracking No,Tracking No,
SKU *,2,ruleEnginePage.wms.ioSkuLabel,SKU *,SKU *,
LOT ID,2,ruleEnginePage.wms.lotColId,LOT ID,LOT ID,
Order Date,2,ruleEnginePage.wms.recvColOrderDate,Order Date,Order Date,
PO No,2,ruleEnginePage.wms.recvColPO,PO No,PO No,
Order Qty,2,ruleEnginePage.wms.recvColQty,Order Qty,Order Qty,
Total Transaction Amount,2,ruleEnginePage.wms.supDrawerTotalAmt,Total Transaction Amount,Total Transaction Amount,
✏️ Edit,2,ruleEnginePage.wms.supEditBtn,✏️ Edit,✏️ Edit,
Room Temp,2,ruleEnginePage.wms.whTempDefault,Room Temp,Room Temp,
Actual Paid,1,actualPaid,,Actual Paid,
Ad Creative,1,adCreative,,Ad Creative,
Ad Ready,1,adReady,,Ad Ready,
📊 Anomaly Detection Summary,1,attr.anomalySummary,📊 Anomaly Detection Summary,📊 Anomaly Detection Summary,
Expected Blended ROAS,1,attr.expectedBlendRoas,Expected Blended ROAS,Expected Blended ROAS,
📋 Channel Contribution by Model (%),1,attr.modelCompareTable,📋 Channel Contribution by Model (%),📋 Channel Contribution by Model (%),
🕸️ Channel Contribution Radar,1,attr.radarCompare,🕸️ Channel Contribution Radar,🕸️ Channel Contribution Radar,
Compare campaign performance of the exact same product and channel across different regional teams or sub-accounts.,1,banner.acctPerf.desc,Compare campaign performance of the exact same product and channel across different regional teams or sub-accounts.,Compare campaign performance of the exact same product and channel across different regional teams or sub-accounts.,
Team / Account,1,banner.acctPerf.team,Team / Account,Team / Account,
Check Rights,1,checkRights,,Check Rights,
TOP 5 SKU,1,commerce.top5Sku,TOP 5 SKU,TOP 5 SKU,
CampaignEnterpriseTabs,1,common.underConstruction,,,
Auto Exec,1,crm.aiHub.aiHub.autoExec,Auto Exec,Auto Exec,
Count Unit,1,crm.aiHub.aiHub.countUnit,Count Unit,Count Unit,
Expected Profit,1,crm.aiHub.aiHub.expectedProfit,Expected Profit,Expected Profit,
Badge Realtime,1,crm.aiHub.aiPolicy.badgeRealtime,Badge Realtime,Badge Realtime,
Badge Rules,1,crm.aiHub.aiPolicy.badgeRules,Badge Rules,Badge Rules,
Badge Security,1,crm.aiHub.aiPolicy.badgeSecurity,Badge Security,Badge Security,
Cfg Approval Gate,1,crm.aiHub.aiPolicy.cfgApprovalGate,Cfg Approval Gate,Cfg Approval Gate,
Cross Sync,1,crm.aiHub.aiPolicy.crossTabSync,Cross Sync,Cross Sync,
Fired Total,1,crm.aiHub.aiPolicy.firedTotal,Fired Total,Fired Total,
No Policies,1,crm.aiHub.aiPolicy.noPolicies,No Policies,No Policies,
Policy Name,1,crm.aiHub.aiPolicy.policyName,Policy Name,Policy Name,
Sec Code,1,crm.aiHub.aiPolicy.secCode,Sec Code,Sec Code,
Sec Title,1,crm.aiHub.aiPolicy.secTitle,Sec Title,Sec Title,
Sec Unlock,1,crm.aiHub.aiPolicy.secUnlock,Sec Unlock,Sec Unlock,
Sync Active Rules,1,crm.aiHub.aiPolicy.syncActiveRules,Sync Active Rules,Sync Active Rules,
Sync Budgets,1,crm.aiHub.aiPolicy.syncBudgets,Sync Budgets,Sync Budgets,
Sync Inventory,1,crm.aiHub.aiPolicy.syncInventory,Sync Inventory,Sync Inventory,
Sync Orders,1,crm.aiHub.aiPolicy.syncOrders,Sync Orders,Sync Orders,
Total Audit,1,crm.aiHub.aiPolicy.totalAudit,Total Audit,Total Audit,
Attribution Desc,1,crm.aiHub.attributionDesc,Attribution Desc,Attribution Desc,
Rate Limits,1,crm.aiHub.catalogSync.devHub.rateLimits,Rate Limits,Rate Limits,
⚡ Webhook,1,crm.aiHub.catalogSync.devHub.tab_webhook,⚡ Webhook,⚡ Webhook,
Data Collection,1,crm.aiHub.catalogSync.ds.pipeCollect,Data Collection,Data Collection,
Normalization/Mapping,1,crm.aiHub.catalogSync.ds.pipeNormalize,Normalization/Mapping,Normalization/Mapping,
Module locked due to abnormal access.,1,crm.aiHub.catalogSync.ihub.secLockDesc,Module locked due to abnormal access.,Module locked due to abnormal access.,
Connected Channels,1,crm.aiHub.catalogSync.journey.connectedChannels,Connected Channels,Connected Channels,
Guide Node Ab Test,1,crm.aiHub.catalogSync.journey.guideNodeAbTest,Guide Node Ab Test,Guide Node Ab Test,
Guide Node Condition,1,crm.aiHub.catalogSync.journey.guideNodeCondition,Guide Node Condition,Guide Node Condition,
Guide Node Delay,1,crm.aiHub.catalogSync.journey.guideNodeDelay,Guide Node Delay,Guide Node Delay,
Guide Node Email,1,crm.aiHub.catalogSync.journey.guideNodeEmail,Guide Node Email,Guide Node Email,
Guide Node End,1,crm.aiHub.catalogSync.journey.guideNodeEnd,Guide Node End,Guide Node End,
Guide Node Kakao,1,crm.aiHub.catalogSync.journey.guideNodeKakao,Guide Node Kakao,Guide Node Kakao,
Guide Node Line,1,crm.aiHub.catalogSync.journey.guideNodeLine,Guide Node Line,Guide Node Line,
Guide Node Push,1,crm.aiHub.catalogSync.journey.guideNodePush,Guide Node Push,Guide Node Push,
Guide Node Sms,1,crm.aiHub.catalogSync.journey.guideNodeSms,Guide Node Sms,Guide Node Sms,
Guide Node Trigger,1,crm.aiHub.catalogSync.journey.guideNodeTrigger,Guide Node Trigger,Guide Node Trigger,
Guide Node Webhook,1,crm.aiHub.catalogSync.journey.guideNodeWebhook,Guide Node Webhook,Guide Node Webhook,
